id,comment1_problem,comment1_solution_verb,comment1_solution_obj,comment2_problem,comment2_solution_verb,comment2_solution_obj,comment3_problem,comment3_solution_verb,comment3_solution_obj,comment4_problem,comment4_solution_verb,comment4_solution_obj,comment5_problem,comment5_solution_verb,comment5_solution_obj,comment6_problem,comment6_solution_verb,comment6_solution_obj,comment7_problem,comment7_solution_verb,comment7_solution_obj
12,text,remove,element,unknown,try,unknown,font,use,more legible font,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
13,text,increase,font size and weight,text,change,color,unknown,add,button,element,redesign,layout Bounding Box,unknown,use,same font size and weight,text,make,text,unknown,unknown,unknown
14,heading,increase,contrast,layout,incorporate,back button,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
15,continue button,resize,continue button,heading,make,unknown,line,simplify,message,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
16,text,change,color,element,redesign,layout Bounding Box,unknown,add,button,unknown,redesign,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
17,unknown,adjust,spacing,search label,make,unknown,unknown,add,heading be relevant,language use,be,only profile,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
18,element,try,unknown,headline and rest,increase,text size,design,align,filter option,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
19,back button,add,back button,section,unknown,unknown,unknown,add,relevant icon,visual element,try,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
20,label together,use,label be easily understand,layout,simplify,layout,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
21,header,increase,font size,heading and sub-heading,align,heading and heading,visual element,try,unknown,element,try,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
22,lack,consider,unknown,header,unknown,unknown,Feedback heading,make,heading,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
23,unknown,leave,title and text,title,change,title,text,align,text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
24,header and body text,consider,unknown,unknown,unknown,unknown,title,change,title,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
25,text,increase,font size and weight,text,change,color,unknown,add,link back,unknown,add,button,hamburger menu icon size,increase,Icon/ bar size,element,rearrange,element,unknown,remove,advertisement
26,tab,adjust,contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
27,days\ name,unknown,unknown,icon,replace,unclear icon,icon,replace,unclear icon,text,increase,text size,app,make,designer,unknown,unknown,unknown,unknown,unknown,unknown
28,section,increase,contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
29,unknown,unknown,unknown,Caller ID,align,pop-up,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
30,search bar,add,recognizable search icon,unknown,enhance,visual distinction,Caller ID,align,pop-up,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
31,gray text 's low contrast,increase,contrast,element,implement,clear visual hierarchy,text,make,color,element,align,element,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
32,icon,adjust,color or opacity,Get Offers button,differentiate,Get Offers button,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
33,text size and weight,use,combination,Showroom,consider,unknown,element,align,element,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
34,highlighted section,enlarge,highlighted part,highlighted section,enlarge,navigation button,app page,reduce,number,text font size,increase,font text size,text,be,font,design,be,too many image and too much text,unknown,unknown,unknown
35,menu icon and label match centre,align,element,design,be,layout,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
36,title,increase,font size,text,be,font,design,increase,space,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
37,search bar icon,reposition,other icon,unknown,consider,unknown,text,use,dark color,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
38,Menu button,enlarge,button,search button,consider,unknown,navigation button,make,unknown,background,consider,unknown,app 's appearance,introduce,vibrant color,unknown,unknown,unknown,unknown,unknown,unknown
39,icon,change,color,icon use,use,simple search icon,icon,change,icon,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
40,current design,improve,clarity,text,make,text,"spell error , such",proofread,text,unknown,remove,unnecessary element,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
41,element,add,border,text,increase,text size,design,implement,clear visual cue to guide user,unknown,unknown,unknown,unknown,apply,same design style,power,give,same graphic treatment,unknown,unknown,unknown
42,HELP,increase,visual prominence,element,remove,unnecessary element,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
43,dark color theme,consider,unknown,unknown,increase,text size,color contrast,increase,color contrast,Next button,emphasize,next button,back button,add,back button,color use,change,color,unknown,unknown,unknown
44,eSports,leave,heading,next button,add,boundary,lack,change,color,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
45,color use,change,color,text,leave,fix,problem,make,unknown,color use,change,color,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
46,low contrast,increase,text size,responsiveness,prioritize,"clear navigation , responsive design , and visually distinct interactive element",similar header and legal category background,adjust,legal category background,design,simplify,design,navigation,simplify,navigation,unknown,unknown,unknown,unknown,unknown,unknown
47,header,adjust,color,list item,click,functionality,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
48,background,unknown,unknown,unknown,change,background color,word,consider,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
49,unknown,integrate,prominent close icon,lack,add,well-place three-dot icon,unknown,consider,unknown,element,add,border,most important information,make,unknown,unknown,remove,unnecessary element,unknown,unknown,unknown
50,menu button and profile section,add,menu button and profile section,sign,replace,current sign,back button,add,back button,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
51,taskbar,enhance,color contrast,unknown,unknown,unknown,unknown,unknown,unknown,most important information,make,unknown,element occupy similar position,use,same visual feature,unknown,unknown,unknown,unknown,unknown,unknown
52,text,increase,font size and weight,text,change,color,unknown,use,same font size and weight,element,redesign,UI,unknown,redesign,UI,unknown,be,expect standard,back button size,increase,back button size
53,slider position,create,more balanced visual composition,heading and text body,be,heading,size,make,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
54,unknown,unknown,unknown,text,increase,contrast,unknown,apply,bold styling,button,resize,See Sitters now button,user,make,designer,unknown,unknown,unknown,unknown,unknown,unknown
55,back button,enlarge,back button,unknown,ensure,consistency,highlighted text,increase,text font size,background,opt,unknown,color use,consider,unknown,unknown,unknown,unknown,unknown,unknown,unknown
56,back button arrow,align,back button arrow,Choose and km button,align,Choose and km button,unknown,unknown,unknown,Search button,relabele,Search,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
57,background,choose,different color background provide well contrast,button,decrease,size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
58,text,increase,text,unknown,use,same font size and weight,Restore Purchases button,change,Restore Purchases button,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
59,search icon,add,placeholder text,Restore Purchases button,change,Restore Purchases button,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
60,navigation bar and,adjust,color,search icon,replace,search icon,Restore Purchase,clarify,nature,text be pack available,change,text,Restore Purchases button,change,Restore Purchases button,unknown,unknown,unknown,unknown,unknown,unknown
61,app name,consider,unknown,tab button,enlarge,button,check box,enlarge,size,background,choose,different font color,font size,make,font size,line height,make,line height,unknown,unknown,unknown
62,ranking text,increase,contrast,font size,make,font size,text color,make,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
63,lack,add,margin,lack,try,unknown,unknown,be,unnecessary element,font size,make,font size,line height,make,line height,unknown,unknown,unknown,unknown,unknown,unknown
64,header text,increase,font size,design,use,more mature and professional design,unknown,remove,unnecessary element,design,redesign,app,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
65,unknown,unknown,unknown,unknown,unknown,unknown,button such,enhance,visual contrast,use,select,"background color be more neutral and universally appealing , such",element,move,element,design,redesign,app,unknown,unknown,unknown
66,text,make,unknown,color use,use,soft pastel color,cross button,give,more visual importance,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
67,unknown,be,unknown,text,increase,font size,element,implement,proper alignment and organization technique,element,add,border,unknown,implement,grid-base layout system,text,increase,text,element,align,element
68,810 digit,clarify,purpose,progress bar,add,clear label,Facebook icon,provide,clear label,element,align,element,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
69,unknown,unknown,unknown,grey text,use,dark text,Facebook button,remove,Facebook button,design,simplify,design,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
70,text,increase,font size and weight,text,change,color,hamburger menu icon size,increase,Icon/ bar size,text,increase,text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
71,unknown,unknown,unknown,navigation,make,navigation,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
72,text,increase,text font size,text,increase,text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
73,description,align,description text,image,increase,spacing,element,align,element,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
74,image,add,white space,text be not standard,leave,text paragraph,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
75,different section,add,visual separator,text alignment,try,unknown,text,increase,contrast,element,align,element,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
76,Get Status and privacy notice label,move,Get Status button,page,give,title indicate page be,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
77,back button,add,back button,heading,increase,size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
78,text,try,unknown,tool,add,more feature,text,leave,text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
79,unknown,unknown,unknown,button 's size and placement,resize,button,Cancel button,align,Cancel button,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
80,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
81,cancel button,use,dark color background,font style,be,font style,text,increase,Bounding Box,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
82,text,use,dark color,Receipt Hog,revise,text,text,revise,design,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
83,same passage,maintain,similar font size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
84,poor background color,choose,stand highlight,text,use,dark text color,unknown,use,background color have high contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
85,central ad placement,move,ad,small gray text,increase,text size,unknown,unknown,unknown,element,increase,unknown,layout,increase,designer,font,use,large font size and more white space Bounding Box,unknown,unknown,unknown
86,unknown,rearrange,element,app,simplify,navigation system,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
87,placement,place,ad,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
88,text,consider,unknown,unknown,use,more limited color palette,app,use,same font size and color scheme,app,use,more familiar icon and term,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
89,layout,organize,related section information,app,use,more white space and more limited color palette,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
90,icon,consider,unknown,text,adjust,color,app,use,more familiar icon and term,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
91,text font size,increase,text font size,image,ensure,unknown,highlight button,change,button color,app 's visual design,introduce,vibrant and eye-catch color,text,increase,text,interface,give,more modern and visually appeal design,unknown,unknown,unknown
92,layout,add,back icon,icon,resize,icon,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
93,navigation system,change,color,navigation,add,clear and consistent navigation bar,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
94,text,increase,font size and weight,text,change,color,back button size,increase,back button size,unknown,increase,size,unknown,unknown,unknown,text,increase,text,unknown,unknown,unknown
95,back button,enlarge,back button,Sign,enlarge,button,text font size,increase,text font size,highlighted icon,make,unknown,text,increase,size,error message,enlarge,error message,text,increase,text
96,date field,change,date format,background color and color,change,color and weight,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
97,user,change,UI,unknown,increase,length,text size,increase,text size,unknown,adjust,color scheme,text,use,large font size,element,align,Username and Password field,app,use,more visually appealing design and more engaging color
98,text font size,increase,font size,Register and cancel button,differentiate,visual hierarchy,text,use,large font size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
99,icon,align,icon and title,call,increase,font size,size,increase,font size,"element-text password , white box , informative text and two button",add,breathing space,text,use,large font size,user,use,different color,app,use,more visually appealing design and more engaging color
100,back button,add,back button,large amount,reduce,empty space,text,use,large font size,text,use,large font size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
101,back button,add,back button or navigation option,unknown,consider,unknown,text,increase,contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
102,heading,move,heading,unknown,unknown,unknown,text,use,large font size Bounding Box,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
103,icon,adjust,color,lack,establish,clear margin,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
104,unknown,add,equal margin,layout,simplify,layout,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
105,font,increase,font size,layout,simplify,layout,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
106,Next button,center,next button,Next button,center,next button,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
107,inactive button,adjust,color,next button,adjust,color,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
108,back text,consider,unknown,background color,change,background color,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
109,back button,enlarge,back button,text font size,increase,text font size,Next button,consider,unknown,predominant color scheme,consider,unknown,date,display,date,unknown,unknown,unknown,unknown,unknown,unknown
110,placeholder,implement,visual indicator,date,display,date,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
111,font size,increase,font size,blue color background,use,different color,text,be,text,date,display,date,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
112,unknown,increase,contrast color,design,use,contrast color,element back,add,border,Next button,change,color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
113,back button,enlarge,back button,unknown,adjust,color,text,increase,text font size,Next button,consider,unknown,predominant color scheme,consider,unknown,color,change,color,unknown,unknown,unknown
114,text,use,dark text color,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
115,text,increase,font size and weight,text,change,color,back button size,increase,back button size,unknown,redesign,unknown,unknown,add,button,visual prominence,make,unknown,design,revise,design
116,Menu icon,adjust,size,navigation bar,move,button,unknown,unknown,unknown,icon and label,change,icon and label,visual prominence,use,visual contrast,design,revise,design,design,increase,white space
117,size,increase,contrast,menu icon,adjust,width,date text,increase,contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
118,close proximity,increase,unknown,small gray text,increase,text size,unknown,implement,clear pagination button and visual indicator,text,use,large font size,ad section,use,more white space,navigation,use,more intuitive navigation system,unknown,unknown,unknown
119,back button,enlarge,back button,search button,enlarge,search button,text font size,increase,text font size,heart icon,enlarge,heart icon,text,use,large font size,unknown,unknown,unknown,unknown,unknown,unknown
120,name,be,additional information such,text,use,dark color,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
121,text,increase,font size and weight,back button size,increase,back button size,unknown,try,unknown,unknown,redesign,page,user,make,designer,unknown,unknown,unknown,unknown,unknown,unknown
122,unknown,unknown,unknown,lack,implement,clear separation,tab,implement,strong visual cue,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
123,text,increase,font size,unknown,increase,sign,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
124,element,introduce,"proper alignment , margin or padding",light gray text,darken,text,text,change,color,element,align,element,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
125,text,increase,color contrast,get start button,enhance,visual styling,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
126,choice,try,unknown,text,change,color,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
127,text,increase,font weight and size,unknown,try,unknown,unknown,redesign,unknown,text,increase,text,design,revise,design,unknown,unknown,unknown,unknown,unknown,unknown
128,menu option,add,descriptive heading,menu option layout,consider,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
129,text,increase,font size and weight,text be unreadable and not make good contrast,change,color,hamburger menu icon size,increase,Icon/ bar size,unknown,redesign,unknown,font,increase,font size,color,be,different color,unknown,unknown,unknown
130,white text,consider,unknown,"x button , be white",consider,unknown,font,increase,font size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
131,cross icon,change,icon color,font type,maintain,same font,font,increase,font size,language,be,Terms and Privacy Policy link,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
132,logo,enlarge,logo,Sign,adjust,color,abundance,remove,unnecessary element,unknown,introduce,back button,Sign,make,Sign,Forgot Credentials link,give,same graphic treatment,unknown,unknown,unknown
133,unknown,unknown,unknown,placement,consider,unknown,text button,make,unknown,button,consider,unknown,absence,consider,common location user expect,Sign,make,Sign,unknown,unknown,unknown
134,button,try,unknown,unknown,remove,element,unknown,use,positioning,unknown,be,three button and four image,Sign,make,Sign,unknown,unknown,unknown,unknown,unknown,unknown
135,background,ensure,consistent background color scheme,unknown,reintegrate,drop-down icon,unknown,unknown,unknown,background,adjust,color,background,increase,contrast,visual style,use,same visual element,visual hierarchy,use,different visual element
136,app name,enlarge,app name,text font size,increase,text font size,text,increase,text font size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
137,visual style,use,same visual element,drop,implement,standard drop,uniform font size,implement,hierarchical font system,lack,prioritize,clear,visual style,use,same visual element,unknown,unknown,unknown,unknown,unknown,unknown
138,text,leave,text and button,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
139,text,increase,contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
140,unknown,try,unknown,message,try,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
141,way visual element overlap,try,unknown,user,try,unknown,user,make,text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
142,tutorial image,increase,size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
143,way visual element overlap,try,unknown,user,try,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
144,unknown,align,both text and digit,digit size,ncrease,size,line space,increase,line space,font size,increase,font size,font color,change,font color,unknown,unknown,unknown,unknown,unknown,unknown
145,heading,increase,font weight and size,paragraph spacing,increase,paragraph space,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
146,unknown,emphasize,header,content overload and tight spacing,increase,white space,serial number,increase,font size & weight,unknown,unknown,unknown,paragraph spacing,increase,paragraph spacing,unknown,unknown,unknown,unknown,unknown,unknown
147,unknown,unknown,unknown,unknown,unknown,unknown,lack,introduce,distinct background treatment,information,organize,information,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
148,function,use,illustration,image,use,solid background color,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
149,placement,position,live button,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
150,element,add,border,unknown,add,universally recognize magnify glass icon,element,use,baseline grid,lack,integrate,universally recognize navigation icon,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
151,icon,change,icon,unknown,make,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
152,icon,change,background color and size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
153,text,increase,text,color use,change,color,unknown,redesign,UI,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
154,icon and button,increase,contrast,element,add,border,layout,implement,consistent back icon,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
155,button design,maintain,consistency,text,need,unknown,color,change,color,button label,use,large button and more descriptive label,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
156,unknown,improve,navigation and information hierarchy,Loading button,use,\ button,current design,consider,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
157,unknown,unknown,unknown,element,add,border,element positioning,reorganize,unknown,icon,increase,spacing / resize / reposition icon,Loading element,make,unknown,poor information organization,improve,information architecture,information,organize,information
158,heading,increase,font size,unknown,unknown,unknown,unknown,remove,icon,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
159,element occupy similar position,give,element occupy similar position,use,reduce,amount,Download Offline HD English Voice button,align,button,element,reposition,element,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
160,unknown,include,unknown,use,consider,unknown,Download Offline HD English Voice button,align,button,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
161,unknown,ensure,interactive,text Sherlock Holmes and Alice\s Adventures,enhance,visual contrast and text size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
162,text,change,color,unknown,unknown,unknown,hamburger menu icon size,increase,Icon/ bar size,unknown,add,button,unknown,add,button,unknown,try,unknown,design,revise,design
163,text overlay,increase,size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
164,seperator line,be,line,action to be happen,be,button,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
165,element,increase,contrast,unknown,unknown,unknown,element,implement,responsive design,design,use,responsive design,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
166,three dot and menu,give,similar treatment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
