id,task,verb,obj
420,Accept or Decline the End User License Agreement,accept,agreement
421,Click to Decline or accept the license agreement,accept,agreement
422,Manage your security with cookie preference,manage,security
423,Read cookie use and permission,read,use
424,View permission and privacy data,view,permission
425,Click on check box to select athletic,select,athletic
426,Select Athletic to proceed,select,athletic
427,select option of athletic,select,option
428,Manage the setting option,manage,option
429,Choose to view an option from setting menu,view,option
430,View and manage setting,manage,setting
431,Click the Chat button to initiate a conversation with the designated person,initiate,conversation
432,Click the Chat button to initiate a conversation with the designated person,initiate,conversation
433,,,
434,Track your Diet plan or Progress,track,plan
435,Track Your Activity for the Next 21 Day,track,activity
436,21 Day Health Tracker app,track,app
437,Enter the personal information as input,enter,information
438,Please provide the information to create an account for the 21 Day Tracker community,provide,information
439,Enter detail to create an account,create,account
440,Tap to select animal sound ringtone,select,ringtone
441,Select and set animal sound ringtone,set,ringtone
442,Explore the different Animal sound ringtone by adjusting volume level,explore,ringtone
443,Play a quiz to uncover your past life,play,quiz
444,Choose from the option to open a file,open,file
445,Manage Option to Open Application,manage,option
446,Select an option for tattoo cam to proceed,select,option
447,View option on tattoo cam,view,option
448,View or select category from list,select,category
449,Fill in your detail to create your profile,create,profile
450,Enter detail to create Profile,create,profile
451,Create Profile for an account,create,profile
452,Search and make new friend,make,friend
453,Search and explore friend,explore,friend
454,Search member to make new friend,make,friend
455,Check progress of uploading photo,check,progress
456,Upload a photo and view its progress,upload,photo
457,share the quote on Father's day,share,quote
458,Adjust or Set Notification Setting and Save the change,set,setting
459,Manage notification setting,manage,setting
460,Change Notification Setting,change,setting
461,Enter required detail to continue,enter,detail
462,Click on continue to proceed,proceed,continue
463,Pick a username,pick,username
464,Register to logIn to add magazine or Comic to the library,add,magazine
465,Click magazine section to View Magazine,view,magazine
466,Log in to add magazine to your library,add,magazine
467,Watch or share the video or follow Valerie Belanger,share,video
468,View Hairstyle tutorial,view,tutorial
469,Watch Hair Styling Video,watch,video
470,Tap to Link or Connect your Twitter account to Plume,connect,account
471,Connect to Twitter account or import setting to proceed,connect,account
472,select the option to connect to twitter account,connect,account
473,View digital Auto id card,view,card
474,Access a digital copy of your proof of insurance,access,copy
475,Access the digital copy of ID Card,access,copy
476,Manage the setting to set the alarm,set,alarm
477,Set music and time for Alarm,set,music
478,Set and Start An Alarm,set,alarm
479,Track your sleep insight with the good night's sleep alarm,track,insight
480,Use the Sleep Alarm and Measure the sleep movement by a sensor,use,alarm
481,Good night sleep alarm,sleep,alarm
482,Register by filling in your registration information,fill,information
483,Enter detail to recover password and click on 'Submit' button,recover,password
484,Enter detail and submit to register,submit,detail
485,Search for missing kid by name location and date,search,kid
486,Explore detail of missing kid,explore,detail
487,View the info about Missing kid,view,info
488,Tap to use current location or add new location,add,location
489,Click on Add Location to proceed,add,location
490,Add your location,add,location
491,Click the Start button to begin the full-body workout session in Easy Plan1,begin,session
492,Track workout progress,track,progress
493,Plan your workout,plan,workout
494,Manage your menstrual cycle,manage,cycle
495,View upcoming event and important date for August,view,event
496,Read about the new update,read,update
497,Tap on the close button to proceed after reading,proceed,button
498,Check latest update,check,update
499,Explore and read about various Coupon and Gif party related information,explore,coupon
500,Select a coupon to redeem from vip lounge,redeem,coupon
501,Explore the VIP Lounge,explore,lounge
502,Link Facebook account to sonic,link,account
503,Sign in with facebook account,sign,in
504,Sign-in using Facebook account,sign,in
505,Check FED Tax refund amount and other Estimated paid Tax amount,check,amount
506,Check and track estimate tax paid,track,tax
507,View information regarding tax paid,view,information
508,Press Talk to Start Recording,start,recording
509,Press and hold to record,hold,record
510,Select filter to Record,select,filter
511,Enter the Required Detail as input,enter,detail
512,Enter username and password to sign in,sign,in
513,Enter username and password to sign in,sign,in
514,Click to add folder and choose background color or pattern,add,folder
515,Enter folder title and color then click Correct to add or go back to discard,add,title
516,Enter name for creating folder and choosing a background pattern,create,folder
517,View the Ranking,view,ranking
518,Read and know more about the Ranking of different country,read,ranking
519,Check ranking,check,ranking
520,View Score of different Sport Team date wise,view,score
521,Check or view score,check,score
522,View scoreboard for all team,view,scoreboard
523,Play a Song from the List,play,song
524,Listen and explore music,listen,music
525,Play or Stop Music or Podcast,play,music
526,Select an option to post a trick,post,trick
527,Select a method to post a trick,post,trick
528,Post a new trick,post,trick
529,Enter your verification code to proceed,enter,code
530,Enter the verification code to log in or request to resend the code,log,in
531,Write a Facebook post to share with friend,write,post
532,Write to post or share with friend on Facebook,post,something
533,Write something to Post,write,something
534,Enter detail to search hotel,search,hotel
535,Enter current location to search,search,location
536,Detail of Hotel,detail,hotel
537,Explore the app with a Take a Tour or Skip,take,tour
538,Take a tour for yp,take,tour
539,Proceed with take a tour,take,tour
540,Choose a Basic or Plus plan to proceed with flight reservation,choose,plan
541,Select departure flight,select,flight
542,Choose to proceed with Basic or Plus plan price,choose,plan
543,Search flight between Bari and Warsaw Chopin for departure date 6 Dec. 2016 and return date 29 Dec.2016,search,flight
544,Enter booking detail to search flight,search,flight
545,Search flight by entering your departure and arrival detail,search,flight
546,Select the date from the calendar to set,select,date
547,Select the date for searching available flight,select,date
548,Choose the date from the given calendar,choose,date
549,Manage weather notification,manage,notification
550,Enable or disable notification option,enable,option
551,Alert for weather notification,alert,notification
552,Explore a list of polite expression,explore,list
553,Study the polite expression,study,expression
554,View the study list for common polite expression,view,list
555,Click to make a baby image from an adult image and Click on the 'Save' button or click on the 'Menu' button for more feature,make,image
556,Select the Menu or Save button,select,menu
557,Make a baby photo with an adult photo,make,photo
558,Read Poker room description,read,description
559,Read Poker Room related info and click on add to favorite button,read,info
560,Read information about poker room,read,information
561,View Downloading book progress or switch to Downloaded,view,progress
562,Check the download status,check,status
563,View Downloading book,view,book
564,View catch up news article,view,article
565,Chose an article to read,read,article
566,Check the latest news,check,news
567,Explore the selection of Men's Short Sleeve T-Shirt featuring Casual Round Neck design with World Map print,explore,selection
568,Check product description and availability,check,description
569,Click to return from product page,return,page
570,Enter the mobile number and Click on 'Submit' button or 'Click' on 'Cancel' button,enter,number
571,Enter required detail to register in Verizon familybase,register,detail
572,Enter mobile number to register,register,number
573,Choose your preferred option from the menu,choose,option
574,Please choose an option to explore further,explore,option
575,Explore the menu,explore,menu
576,Enter detail to sign up or sign up with the Facebook,sign,up
577,Enter detail to sign up or sign up with Facebook,sign,up
578,Read about application problem,read,problem
579,Read the problem about the application,read,problem
580,Read problem of app,read,problem
581,Select an option for quiz,select,option
582,Learn word by playing a game,learn,word
583,Translate vocabulary with Britannica English game and flashcard,translate,vocabulary
584,Manage setting or switch to other tab within OpenVPN,manage,setting
585,Manage setting for the openVPN,manage,setting
586,Manage setting of vpn,manage,setting
587,Manage Map Setting,manage,setting
588,Manage map setting,manage,setting
589,Change Map Setting,change,setting
590,Search filter and read post,read,post
591,Read article or search for specific one in the Just In,read,article
592,Filter movie by entering their title,filter,movie
593,Manage the setting option,manage,option
594,Manage the Setting Menu,manage,menu
595,View setting menu,view,menu
596,Review your privacy and security setting,review,setting
597,Manage privacy and security setting,manage,setting
598,Review and Manage the privacy and security setting,manage,setting
599,Click 'Buy Now' to Purchase the Bible Audiobook,purchase,audiobook
600,Purchase the Bible Audio for Android,purchase,audio
601,Explore the Bible Offline,explore,Bible
602,Set your preference for Go(start),set,preference
603,Do Setup for weight track,do,setup
604,Enter the preferred input,enter,input
605,Access and manage option in the accessibility setting,manage,option
606,View and manage accessibility setting,manage,setting
607,Set preference for accessibility,set,preference
608,Personalize the City Owl good night message and choose recipient,personalize,message
609,Add your personal touch and select recipient,add,touch
610,Add a comment to share the Gif image,add,comment
611,Customize Your Nail Art with the Edit Feature,customize,art
612,View or Edit the Nail design and click on 'save',edit,design
613,Try different nail color and texture,try,color
614,Check or View shopping cart product to buy,view,product
615,Checkout a product from shopping cart,checkout,product
616,Select the checkout option to checkout,select,option
617,Choose a sport and click Next to view athlete information,view,information
618,Select a category to explore,explore,category
619,View information about the sport,view,information
620,Enter or Select required detail to proceed to next page,select,detail
621,Choose one option from the given option,choose,option
622,Select an option from the list,select,option
623,Adjust Notification Setting,adjust,setting
624,Manage push notification,manage,notification
625,Manage Notification,manage,notification
626,Complete workout and review progress,review,progress
627,Click the Done button once you've completed 20 High Knee,complete,knee
628,See the status of high knee performance,see,status
629,View the restaurant's hour and booking availability,view,hour
630,View the No table available within 3 hour message for instant booking or read about Santina Restaurant,read,restaurant
631,View about information about Santina restaurant,view,information
632,Read about the new version,read,version
633,Read about the new version,read,version
634,Read about the new version,read,version
635,Choose your preferred option from the list,choose,option
636,Select any of the available option,select,option
637,Select a menu option,select,option
638,Click to pay or enter redeem code to get life time License,get,license
639,Enter Redeem code to get a lifetime license,get,license
640,Get lifetime license by paying,get,license
641,Create account to get registered,create,account
642,Enter input for register to create account,register,input
643,Click Register to create a new account,create,account
644,Read the article about The Oak tree and The Reed,read,article
645,Read the story of The Oak Tree and The Reed and check detail,read,story
646,Read the story now,read,story
647,Tap to start quiz or view high score,start,quiz
648,Select an option to proceed,select,option
649,Choose to start a quiz or or view high score,start,quiz
650,Select an option to play,select,option
651,Read the recommended story and do like comment,read,story
652,Explore the recommended story,explore,story
653,Enter your credential to sign in,sign,in
654,Enter the email and password,enter,email
655,Sign in or create a new account for QT,sign,in
656,Browse and select or add News source,add,source
657,Search source to add,add,source
658,Search and add news source,add,source
659,Update the Ryanair app with a simple click on the 'Update' button,update,app
660,Tap the Google Play button to download the updated version of the Ryanair app,download,version
661,Update RYANAIR app,update,app
662,Search and explore Japanese recipe,explore,recipe
663,View or search Japanese recipe,search,recipe
664,View or search Japanese recipe,search,recipe
665,Select a song to play from below list,play,song
666,Select and play a song file,play,song
667,Explore the song from list,explore,song
668,Select Android beam app to send email,send,email
669,Click Android Beam to send an email,send,email
670,Choose the sharing platform to send email,send,email
671,Click website to Download the KJV Bible app on Google Play,download,app
672,Click on suggest or the link for the official website,click,suggest
673,Get help and check the official website for KJV Bible,get,help
674,View Rental Property Detail Price or Availability,view,price
675,Review the Rental Property Detail and verify its availability,review,detail
676,View detail and check availability of rental property,view,detail
677,Enter detail and click Check Availability to schedule a viewing rental property,schedule,viewing
678,Enter the personal information as input,enter,information
679,Enter the detail to check availability,check,availability
680,Enter your detail and check the rent availability,check,availability
681,Search and explore Women category item,explore,item
682,Select a category of product from woman category,select,category
683,Choose the category from the list,choose,category
684,exploring and earning reward in our Shop,earn,reward
685,Search and shop product to get reward,shop,product
686,Choose Option from the List Below,choose,option
687,Select an option and click Done to confirm or Reset to clear,confirm,option
688,Select from the option provided,select,option
689,Explore the menu option,explore,option
690,Select an option from a list of menu,select,option
691,View Sidebar of Osho Wisdom,view,sidebar
692,Enter your credential to Log In,log,in
693,login with the facebook or enter detail to login with the Virtuagym or register an account,login,Virtuagym
694,Enter Detail to login to Virtuagym,login,Virtuagym
695,Select your native language from the following option,select,language
696,Select the preferred native language,select,language
697,Select a language,select,language
698,Click on call log number to get user's name network and address,get,name
699,Proceed to next page to find user detail,find,detail
700,Find personal detail about the user,find,detail
701,Tap to listen to the article on Radio,listen,article
702,Play to listen the audio under radio,play,audio
703,Play the audio,play,audio
704,Select the ringtone from Library section or switch to Cropped or Contact,select,ringtone
705,Search and select the music Ringtone from the list,select,ringtone
706,Cut or Edit Your ringtone,edit,ringtone
707,Track stat penalty and check the amount,track,penalty
708,Select a plan to upgrade to looper,upgrade,plan
709,Upgrade now for advanced stat,upgrade,stat
710,Read or listen to given language,listen,language
