id,task_category,comments_category,comment_problem,comment_verb,comment_obj,aesthetics_rating,usability_rating,design_quality_rating,learnability,efficency
40,Exploration and Navigation,Learnability,positioning use design software to ensure alignment,improve,legibility,7,7,7,3.0,4
41,Exploration and Navigation,Layout,purpose and function,add,section border,4,4,4,2.0,2
42,Exploration and Navigation,Layout,HELP,increase,placeholder image or alternative visual content,6,5,6,3.0,3
44,Exploration and Navigation,Color Contrast,eSports,leave alignment,heading,6,8,7,4.0,4
45,Accessing and managing information,Color Contrast,uniform font style to be use consistently,change,text color contrast,5,6,5,3.0,3
46,Exploration and Navigation,Layout,text 's small size and low color contrast,increase,current button size,4,4,4,2.0,2
47,Accessing and managing information,Usability of Buttons,header and sub header,adjust,text color contrast,6,6,6,3.0,3
50,Exploration and Navigation,Usability of Buttons,menu option layout,add,menu option layout,6,6,6,3.0,3
51,Exploration and Navigation,Layout,taskbar,improve,text color contrast,7,7,7,4.0,4
52,User account management,Layout,ranking text,increase,current button size,6,6,6,3.0,3
53,Exploration and Navigation,Layout,prominently position back button,create button,placeholder image or alternative visual content,6,6,6,3.0,3
55,Accessing and managing information,Usability of Buttons,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,6,6,3.0,3
56,Accessing and managing information,Usability of Buttons,back arrow icon,align,back arrow icon,6,6,6,3.0,3
57,Accessing and managing information,Layout,separate background,choose,positioning use design software to ensure alignment,8,8,8,4.0,4
58,Media and content interaction,Usability of Buttons,ranking text,increase,ranking text,6,6,6,3.0,3
59,Media and content interaction,Usability of Buttons,appropriate icon clearly represent function,add,ranking text,7,7,7,3.0,4
60,Media and content interaction,Usability of Buttons,setting bar,adjust,text color contrast,8,7,7,4.0,3
62,Accessing and managing information,Layout,ranking text,increase,separate background,6,6,6,3.0,3
63,Exploration and Navigation,Layout,current lack,add,consistent margin,5,4,5,2.0,2
64,Exploration and Navigation,Layout,ranking text,increase,current button size,6,6,6,3.0,3
68,Media and content interaction,Learnability,810 digit,clarify,primary purpose,6,6,6,3.0,3
70,Exploration and Navigation,Text Readability,ranking text,increase,current button size,6,6,6,3.0,3
72,Exploration and Navigation,Text Readability,ranking text,increase,current button size,6,5,6,3.0,3
73,Exploration and Navigation,Layout,description,align,ranking text,6,6,6,3.0,3
74,Exploration and Navigation,Layout,item load but lack proper visual-blank image,add,space element,4,4,4,2.0,2
75,Accessing and managing information,Layout,highlighted section,add,placeholder image or alternative visual content,7,7,7,4.0,4
76,Accessing and managing information,Usability of Buttons,Get Status and privacy notice label,move,Update Questions button,7,7,7,4.0,3
77,Accessing and managing information,Layout,button or icon allow user to see current location,add,button or icon allow user to see current location,6,6,6,3.0,3
81,Location and Travel,Text Readability,cancel button,uniform font style to be use consistently,text color contrast,4,4,4,4.0,4
82,Location and Travel,Learnability,ranking text,uniform font style to be use consistently,text color contrast,7,7,7,4.0,3
83,Location and Travel,Text Readability,same passage,maintain,current button size,4,6,5,3.0,3
84,Location and Travel,Color Contrast,poor color contrast,choose,stand highlight,7,6,7,3.0,3
85,Media and content interaction,Layout,current ad section,move,current ad section,4,4,4,2.0,2
87,Media and content interaction,Layout,systematic arrangement,button place,current ad section,4,4,4,4.0,4
89,Exploration and Navigation,Layout,positioning use design software to ensure alignment,organize,highlighted section,6,6,6,3.0,3
91,Exploration and Navigation,Layout,current button size,increase,current button size,5,4,5,2.0,2
92,Exploration and Navigation,Usability of Buttons,positioning use design software to ensure alignment,add,breakfast icon,6,6,6,3.0,3
93,Exploration and Navigation,Layout,confusing layout and unclear navigation,change,text color contrast,7,7,7,3.0,3
94,User account management,Text Readability,ranking text,increase,current button size,6,6,6,3.0,3
95,User account management,Usability of Buttons,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,6,6,3.0,3
96,User account management,Text Readability,date,change,date,7,7,7,3.0,4
97,User account management,Layout,clear and functional checkbox,change,ui,5,5,5,3.0,2
98,User account management,Text Readability,current button size,increase,current button size,6,6,6,3.0,3
99,User account management,Usability of Buttons,breakfast icon,align,text and title,6,7,7,4.0,4
100,Accessing and managing information,Text Readability,button or icon allow user to see current location,add,button or icon allow user to see current location,6,6,6,3.0,3
101,Accessing and managing information,Usability of Buttons,button or icon allow user to see current location,add,button or icon allow user to see current location,6,6,6,3.0,3
102,Accessing and managing information,Text Readability,heading,move,heading,7,7,7,3.0,4
103,Media and content interaction,Layout,breakfast icon,adjust,text color contrast,6,6,6,3.0,3
105,Media and content interaction,Layout,more readable font,increase,current button size,8,8,8,4.0,4
106,Exploration and Navigation,Layout,button or icon allow user to see current location,center,button or icon allow user to see current location,7,7,7,3.0,4
107,Exploration and Navigation,Usability of Buttons,button or icon allow user to see current location,adjust,text color contrast,6,6,6,3.0,3
109,Exploration and Navigation,Usability of Buttons,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,6,6,3.0,3
110,Exploration and Navigation,Text Readability,purpose and function,reintegrate,placeholder image or alternative visual content,6,6,6,3.0,3
111,Exploration and Navigation,Text Readability,current button size,increase,current button size,5,5,5,2.0,2
113,Exploration and Navigation,Usability of Buttons,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,5,6,2.0,3
114,Exploration and Navigation,Color Contrast,ranking text,uniform font style to be use consistently,text color contrast,4,4,4,4.0,4
115,Exploration and Navigation,Layout,ranking text,increase,current button size,6,6,6,3.0,3
116,Exploration and Navigation,Layout,breakfast icon,adjust,current button size,7,7,7,4.0,3
117,Accessing and managing information,Layout,current button size,increase,separate background,5,5,5,3.0,3
119,Exploration and Navigation,Text Readability,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,6,6,3.0,3
120,Exploration and Navigation,Text Readability,name,be,information,4,4,4,4.0,4
121,Exploration and Navigation,Layout,ranking text,increase,current button size,6,6,6,3.0,3
123,Media and content interaction,Usability of Buttons,ranking text,increase,current button size,6,5,6,3.0,3
124,Exploration and Navigation,Layout,purpose and function,reintroduce,"more common language , such",5,5,5,2.0,3
125,Exploration and Navigation,Usability of Buttons,ranking text,increase,text color contrast,6,6,6,3.0,3
127,Customization of app settings and preferences,Layout,ranking text,increase,current button size,6,6,6,3.0,3
128,Exploration and Navigation,Usability of Buttons,menu option layout,add,heading,6,6,6,3.0,3
129,User account management,Layout,ranking text,increase,current button size,6,6,6,3.0,3
131,User account management,Text Readability,cross button,change,text color contrast,6,7,6,4.0,3
132,User account management,Usability of Buttons,login and logo,enlarge,login and logo,5,4,5,2.0,2
135,Customization of app settings and preferences,Layout,separate background,ensure,text color contrast,3,4,3,2.0,2
136,Customization of app settings and preferences,Text Readability,facebook app,enlarge,facebook app,6,6,6,3.0,3
137,Customization of app settings and preferences,Layout,placeholder image or alternative visual content,uniform font style to be use consistently,placeholder image or alternative visual content,5,5,5,3.0,2
138,Customization of app settings and preferences,Layout,ranking text,leave alignment,ranking text,6,6,6,3.0,3
139,Customization of app settings and preferences,Color Contrast,ranking text,increase,separate background,6,6,6,3.0,3
142,Exploration and Navigation,Layout,item load but lack proper visual-blank image,increase,current button size,6,6,6,3.0,3
145,Media and content interaction,Layout,heading,increase,current button size,6,8,7,4.0,4
148,Media and content interaction,Learnability,purpose and function,uniform font style to be use consistently,icon or illustration depict offline reading,4,4,4,2.0,2
149,Media and content interaction,Layout,systematic arrangement,prominently position back button,live button,8,8,8,4.0,4
150,Location and Travel,Usability of Buttons,purpose and function,add,section border,4,4,4,2.0,2
151,Location and Travel,Learnability,breakfast icon,change,breakfast icon,5,5,5,3.0,2
152,Location and Travel,Usability of Buttons,breakfast icon,change,current button size,8,8,8,4.0,4
153,Customization of app settings and preferences,Layout,ranking text,increase,ranking text,6,6,6,3.0,3
154,Customization of app settings and preferences,Usability of Buttons,breakfast icon,increase,separate background,6,6,6,3.0,3
155,Customization of app settings and preferences,Usability of Buttons,positioning use design software to ensure alignment,maintain,systematic arrangement,7,7,7,3.0,4
158,Media and content interaction,Learnability,heading,increase,current button size,6,6,6,3.0,3
159,Media and content interaction,Layout,prominently position back button,give,prominently position back button,7,7,7,3.0,4
162,Media and content interaction,Usability of Buttons,ranking text,change,text color contrast,6,6,6,3.0,3
163,Exploration and Navigation,Layout,ranking text,increase,current button size,6,6,6,3.0,3
164,Media and content interaction,Usability of Buttons,separation line,be,separation line,4,4,4,4.0,4
165,Media and content interaction,Layout,purpose and function,increase,separate background,5,5,5,3.0,2
166,Exploration and Navigation,Layout,breakfast icon,give,similar graphic treatment,5,5,5,3.0,2
168,Media and content interaction,Usability of Buttons,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,6,6,3.0,3
170,Media and content interaction,Learnability,\ and other,maintain,legibility,6,7,7,4.0,4
171,Exploration and Navigation,Usability of Buttons,ranking text,increase,current button size,6,6,6,3.0,3
172,Exploration and Navigation,Usability of Buttons,positioning use design software to ensure alignment,reintegrate,breakfast icon,6,6,6,3.0,3
173,Exploration and Navigation,Layout,home,increase,current button size,5,4,5,2.0,2
174,Media and content interaction,Layout,ranking text,increase,current button size,6,6,6,3.0,3
175,Media and content interaction,Layout,text color contrast,change,text color contrast,5,6,6,3.0,3
176,Media and content interaction,Text Readability,ranking text,increase,current button size,7,6,7,3.0,3
177,Exploration and Navigation,Usability of Buttons,purpose and function,add,section border,4,4,4,2.0,2
179,Exploration and Navigation,Text Readability,color weight,increase,color weight,6,6,6,3.0,3
180,Accessing and managing information,Text Readability,ranking text,change,ranking text,7,7,7,4.0,3
181,Accessing and managing information,Text Readability,more readable font,uniform font style to be use consistently,current button size,4,5,5,3.0,2
183,Customization of app settings and preferences,Usability of Buttons,positioning use design software to ensure alignment,add,"more common language , such",6,6,6,3.0,3
184,Customization of app settings and preferences,Usability of Buttons,button or icon allow user to see current location,change,text color contrast,3,5,4,2.0,3
185,Accessing and managing information,Layout,menu option layout,enlarge,menu option layout,5,4,5,2.0,2
186,Accessing and managing information,Layout,categorize,increase,spacing,6,6,6,3.0,3
187,Accessing and managing information,Learnability,black circle,show,text color contrast,6,6,6,3.0,3
188,User account management,Layout,current button size,increase,current button size,5,5,5,3.0,2
189,User account management,Usability of Buttons,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,6,6,3.0,3
190,User account management,Text Readability,ranking text,increase,current button size,6,6,6,3.0,3
191,Exploration and Navigation,Layout,ranking text,increase,current button size,6,6,6,3.0,3
193,Exploration and Navigation,Layout,current button size,increase,current button size,6,5,6,3.0,3
195,Accessing and managing information,Layout,two label,increase,current button size,3,4,3,2.0,2
196,Accessing and managing information,Usability of Buttons,positioning use design software to ensure alignment,create button,user-friendly menu system,6,6,6,3.0,3
197,Customization of app settings and preferences,Learnability,ranking text,change,text color contrast,6,6,6,3.0,3
198,Customization of app settings and preferences,Learnability,thumbnail,increase,separate background,6,6,6,3.0,3
200,Location and Travel,Learnability,login and logo,increase,current button size,5,5,5,3.0,2
201,Location and Travel,Color Contrast,purpose and function,omit,breakfast icon,3,4,4,2.0,2
203,Location and Travel,Layout,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,6,6,3.0,3
204,Location and Travel,Color Contrast,breakfast icon,adjust,text color contrast,6,6,6,3.0,3
205,Location and Travel,Layout,breakfast icon,adjust,text color contrast,6,6,6,3.0,3
206,Accessing and managing information,Text Readability,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,6,6,3.0,3
208,Accessing and managing information,Layout,ranking text,align,text 7,6,4,5,2.0,2
209,User account management,Usability of Buttons,Change Log text,change,ranking text,6,6,6,3.0,3
210,User account management,Usability of Buttons,breakfast icon,increase,separate background,6,6,6,3.0,3
211,User account management,Layout,ranking text,increase,current button size,5,4,5,2.0,2
212,Exploration and Navigation,Layout,current button size,maintain,large font size and more white space Bounding Box,5,5,5,3.0,2
213,Accessing and managing information,Usability of Buttons,button or icon allow user to see current location,add,button or icon allow user to see current location,5,5,5,3.0,2
214,Exploration and Navigation,Layout,positioning use design software to ensure alignment,thorough redesign,positioning use design software to ensure alignment,6,6,6,3.0,3
215,Exploration and Navigation,Layout,breakfast icon,ensure,systematic arrangement,4,4,4,2.0,2
216,Exploration and Navigation,Layout,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,5,6,2.0,3
217,Exploration and Navigation,Layout,current lack,uniform font style to be use consistently,space element,6,6,6,4.0,4
219,Exploration and Navigation,Usability of Buttons,don\'t,improve,legibility,6,6,6,3.0,3
221,Customization of app settings and preferences,Layout,ranking text,increase,current button size,6,6,6,3.0,3
222,Accessing and managing information,Layout,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,6,6,3.0,3
223,Customization of app settings and preferences,Layout,current button size,increase,current button size,6,6,6,3.0,3
224,Accessing and managing information,Layout,ranking text,increase,current button size,6,6,6,3.0,3
225,Accessing and managing information,Usability of Buttons,ranking text,increase,current button size,5,5,5,2.0,3
227,Location and Travel,Usability of Buttons,ranking text,increase,separate background,6,6,6,3.0,3
228,Location and Travel,Text Readability,ranking text,change,text color contrast,5,7,6,3.0,4
229,Location and Travel,Usability of Buttons,maybe later button,be,maybe later button,4,4,4,4.0,4
230,Exploration and Navigation,Layout,ranking text,increase,current button size,5,4,5,2.0,2
231,Exploration and Navigation,Usability of Buttons,button or icon allow user to see current location,change,text color contrast,4,4,4,2.0,2
232,Media and content interaction,Layout,separate background,choose,positioning use design software to ensure alignment,5,4,5,2.0,2
233,Media and content interaction,Layout,current button size,enlarge,ranking text,5,5,5,3.0,2
234,Media and content interaction,Color Contrast,text color contrast,change,text color contrast,3,6,5,3.0,3
235,Media and content interaction,Color Contrast,ranking text,adjust,text color contrast,4,4,4,2.0,2
236,Location and Travel,Layout,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,6,6,3.0,3
238,Location and Travel,Learnability,text and slider dot boldness,add,clear layout and intuitive navigation,6,6,7,3.0,3
239,User account management,Usability of Buttons,purpose and function,add,button or icon allow user to see current location,6,6,6,3.0,3
240,User account management,Usability of Buttons,ranking text,change,text color contrast,6,6,6,3.0,3
242,Location and Travel,Layout,breakfast icon,reintegrate,miss checkbox icon,5,6,5,3.0,3
243,Location and Travel,Layout,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,6,6,3.0,3
246,Exploration and Navigation,Text Readability,current button size,increase,current button size,5,4,5,2.0,2
247,Exploration and Navigation,Usability of Buttons,facebook app,apply,"more common language , such",5,5,5,3.0,3
248,User account management,Layout,ranking text,increase,current button size,6,6,6,3.0,3
249,User account management,Usability of Buttons,separate background,choose,positioning use design software to ensure alignment,6,6,6,3.0,3
250,User account management,Text Readability,ranking text,increase,ranking text,6,6,6,3.0,3
251,Accessing and managing information,Layout,ranking text,increase,current button size,6,6,6,3.0,3
252,Exploration and Navigation,Layout,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,6,6,3.0,3
253,Accessing and managing information,Layout,more readable font,uniform font style to be use consistently,current button size,4,4,4,4.0,4
254,Accessing and managing information,Layout,positioning use design software to ensure alignment,prioritize,essential content,4,4,4,2.0,2
255,Accessing and managing information,Layout,ranking text,arrange,ranking text,5,6,5,3.0,3
256,Accessing and managing information,Layout,breakfast icon,add,breakfast icon,7,7,7,4.0,4
257,Location and Travel,Layout,ranking text,increase,current button size,6,6,6,3.0,3
258,Location and Travel,Usability of Buttons,Set Clock button,improve,placeholder image or alternative visual content,6,6,6,3.0,3
259,Location and Travel,Layout,breakfast icon,change,breakfast icon,4,6,5,4.0,3
260,Exploration and Navigation,Layout,positioning use design software to ensure alignment,improve,clear and functional checkbox,7,7,7,3.0,4
261,Media and content interaction,Learnability,star icon,add,two label,5,6,5,3.0,3
262,Media and content interaction,Layout,game,increase,current button size,5,5,5,3.0,3
263,Accessing and managing information,Learnability,breakfast icon,add,breakfast icon,5,5,5,3.0,2
264,Accessing and managing information,Layout,advertisement,add,clear close icon,7,7,7,3.0,4
265,Accessing and managing information,Layout,positioning use design software to ensure alignment,be,button or icon allow user to see current location,7,7,7,4.0,4
266,Media and content interaction,Layout,breakfast icon,increase,separate background,3,4,3,2.0,2
267,Exploration and Navigation,Layout,separate background,change,text color contrast,6,5,6,2.0,3
269,Exploration and Navigation,Text Readability,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,5,6,2.0,3
270,Exploration and Navigation,Text Readability,appropriate icon clearly represent function,increase,current button size,6,6,6,3.0,3
271,Exploration and Navigation,Layout,purpose and function,adjust,positioning use design software to ensure alignment,7,7,7,4.0,3
272,User account management,Layout,ranking text,increase,current button size,6,6,6,3.0,3
273,User account management,Layout,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,6,6,3.0,3
274,Exploration and Navigation,Text Readability,current button size,increase,current button size,5,4,5,2.0,2
275,Location and Travel,Layout,ranking text,change,text color contrast,6,6,6,3.0,3
277,Accessing and managing information,Layout,positioning use design software to ensure alignment,remove,dark color scheme Bounding Box,6,6,6,3.0,3
278,User account management,Layout,ranking text,increase,ranking text,6,6,6,3.0,3
281,Exploration and Navigation,Layout,ranking text,increase,current button size,6,6,6,3.0,3
282,Media and content interaction,Layout,current button size,uniform font style to be use consistently,more readable font,5,4,5,2.0,2
284,Accessing and managing information,Layout,ranking text,increase,current button size,6,6,6,3.0,3
285,Accessing and managing information,Layout,button or icon allow user to see current location,change,text color contrast,5,6,5,3.0,3
287,Customization of app settings and preferences,Layout,ranking text,increase,current button size,6,6,6,3.0,3
290,Exploration and Navigation,Layout,ranking text,increase,current button size,6,6,6,3.0,3
291,User account management,Layout,setting page,thorough redesign,setting page,7,7,7,3.0,4
293,Accessing and managing information,Layout,heading,relocate,text and title,6,6,6,3.0,3
296,Exploration and Navigation,Learnability,prominently position back button,give,prominently position back button,7,7,7,4.0,3
297,Exploration and Navigation,Layout,standardize,make,precise alignment and increase pad,4,4,4,2.0,2
298,Exploration and Navigation,Layout,blue icon,highlighted part darker,breakfast icon,5,5,5,3.0,2
299,Accessing and managing information,Layout,uniform font style to be use consistently,swap,black circle,4,4,4,2.0,2
300,Accessing and managing information,Layout,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,5,4,5,2.0,2
301,Accessing and managing information,Layout,mo do not give sense look,be,spelling babsy,4,4,4,4.0,4
302,User account management,Layout,ranking text,increase,current button size,6,6,6,3.0,3
303,User account management,Usability of Buttons,ranking text,be,separate background,5,7,6,3.0,4
306,Media and content interaction,Usability of Buttons,breakfast icon,add,ranking text,6,5,6,2.0,3
308,Exploration and Navigation,Usability of Buttons,positioning use design software to ensure alignment,reintegrate,breakfast icon,6,6,6,3.0,3
309,Exploration and Navigation,Text Readability,more readable font,change,more readable font,5,6,5,3.0,3
310,Exploration and Navigation,Text Readability,current button size,increase,current button size,6,5,6,3.0,3
311,Location and Travel,Layout,ranking text,increase,separate background,6,6,6,3.0,3
312,Location and Travel,Usability of Buttons,absence,ncorporate,breakfast icon,6,6,6,3.0,3
314,Accessing and managing information,Text Readability,ranking text,increase,current button size,6,6,6,3.0,3
318,Accessing and managing information,Layout,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,5,4,5,2.0,2
319,Accessing and managing information,Text Readability,ranking text,increase,ranking text,6,6,6,3.0,3
320,User account management,Usability of Buttons,button or icon allow user to see current location,add,button or icon allow user to see current location,6,6,6,3.0,3
321,User account management,Layout,purpose and function,align,purpose and function,3,7,5,3.0,4
323,User account management,Layout,ranking text,break,space element,5,6,5,3.0,3
325,User account management,Usability of Buttons,current login form,increase,current button size,6,6,6,3.0,3
326,Exploration and Navigation,Usability of Buttons,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,6,6,3.0,3
327,Exploration and Navigation,Usability of Buttons,Skip Tour button,improve,placeholder image or alternative visual content,6,6,6,3.0,3
328,Exploration and Navigation,Layout,Skip Tour button,give,placeholder image or alternative visual content,5,4,5,2.0,2
329,Customization of app settings and preferences,Color Contrast,ranking text,increase,ranking text,6,6,6,3.0,3
330,Customization of app settings and preferences,Color Contrast,ranking text,increase,text color contrast,6,6,6,3.0,3
332,Location and Travel,Usability of Buttons,button or icon allow user to see current location,add,button or icon allow user to see current location,6,6,6,3.0,3
336,Accessing and managing information,Color Contrast,breakfast icon,adjust,text color contrast,6,6,6,3.0,3
337,Accessing and managing information,Layout,ranking text,uniform font style to be use consistently,more readable font,6,6,6,3.0,3
338,Accessing and managing information,Layout,positioning use design software to ensure alignment,reintegrate,appropriate icon clearly represent function,4,4,4,2.0,2
339,Accessing and managing information,Layout,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,5,6,2.0,3
340,Accessing and managing information,Text Readability,color weight,increase,color weight,6,6,6,3.0,3
342,Exploration and Navigation,Layout,text color contrast,increase,separate background,5,5,5,3.0,2
344,User account management,Layout,ranking text,increase,current button size,6,6,6,3.0,3
345,User account management,Usability of Buttons,button or icon allow user to see current location,add,boundary,6,6,6,3.0,3
346,User account management,Usability of Buttons,current button size,increase,current button size,6,5,6,3.0,3
347,Accessing and managing information,Layout,text Cycle Length,align,dark color scheme Bounding Box,7,7,7,3.0,4
348,Accessing and managing information,Usability of Buttons,repeat number,add,purpose and function,6,6,6,3.0,3
349,Accessing and managing information,Usability of Buttons,highlighted section,add,text color contrast,8,8,8,4.0,4
350,Customization of app settings and preferences,Layout,month name,remove,month name,8,8,8,4.0,4
351,Customization of app settings and preferences,Color Contrast,star icon,change,text color contrast,5,6,6,3.0,3
352,Customization of app settings and preferences,Usability of Buttons,play button icon,add,two label,6,6,6,3.0,3
353,Customization of app settings and preferences,Layout,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,6,6,3.0,3
354,Customization of app settings and preferences,Usability of Buttons,ranking text,increase,ranking text,5,5,5,3.0,2
355,Customization of app settings and preferences,Text Readability,positioning use design software to ensure alignment,uniform font style to be use consistently,text color contrast,6,6,6,3.0,3
356,Exploration and Navigation,Learnability,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,6,6,3.0,3
357,Exploration and Navigation,Layout,breakfast icon,adjust,systematic arrangement,6,6,6,3.0,3
359,Exploration and Navigation,Layout,ranking text,increase,current button size,6,6,6,3.0,3
360,Exploration and Navigation,Layout,text color contrast,increase,separate background,6,6,6,3.0,3
361,Media and content interaction,Text Readability,ranking text,increase,ranking text,6,6,6,3.0,3
362,Accessing and managing information,Learnability,breakfast icon,add,breakfast icon,5,5,5,3.0,2
363,Accessing and managing information,Layout,breakfast icon,increase,current button size,5,6,5,3.0,3
365,Accessing and managing information,Layout,breakfast icon,adjust,positioning use design software to ensure alignment,6,6,6,3.0,3
366,Accessing and managing information,Layout,heading,increase,current button size,4,8,6,4.0,4
367,Accessing and managing information,Usability of Buttons,button or icon allow user to see current location,adjust,systematic arrangement,7,7,6,4.0,3
369,Media and content interaction,Layout,check box size,adjust,check box size,3,4,3,2.0,2
370,Media and content interaction,Usability of Buttons,text field,increase,current button size,7,7,7,4.0,4
371,Customization of app settings and preferences,Usability of Buttons,current button size,increase,current button size,6,6,6,3.0,3
372,Customization of app settings and preferences,Layout,breakfast icon,adjust,text color contrast,6,6,6,3.0,3
374,Location and Travel,Layout,setting bar,appear,setting bar,7,7,7,4.0,3
375,Location and Travel,Layout,purpose and function,add,clear layout and intuitive navigation,5,4,4,2.0,2
376,Location and Travel,Text Readability,color weight,increase,color weight,6,6,6,3.0,3
379,Exploration and Navigation,Layout,heading frequently ask question,align,heading,5,4,5,2.0,2
380,Media and content interaction,Layout,menu option layout,enlarge,button or icon allow user to see current location,6,5,6,2.0,3
382,Media and content interaction,Usability of Buttons,star icon,offer,clear layout and intuitive navigation,7,7,7,4.0,4
384,Media and content interaction,Learnability,ranking text,increase,separate background,6,6,6,3.0,3
386,Media and content interaction,Usability of Buttons,ranking text,change,text color contrast,6,6,6,3.0,3
387,Media and content interaction,Layout,item load but lack proper visual-blank image,adjust,current button size,7,7,7,4.0,3
388,Media and content interaction,Layout,item load but lack proper visual-blank image,adjust,positioning use design software to ensure alignment,7,6,6,3.0,3
393,Accessing and managing information,Usability of Buttons,breakfast icon,adjust,text color contrast,6,6,6,3.0,3
394,Accessing and managing information,Learnability,purpose and function,offer,element label Unknown,6,6,6,3.0,3
395,Exploration and Navigation,Learnability,ranking text,increase,current button size,6,6,6,3.0,3
396,Exploration and Navigation,Learnability,text and title,change,text and title,7,7,7,3.0,4
397,User account management,Layout,ranking text,increase,current button size,6,5,6,3.0,2
398,Exploration and Navigation,Learnability,primary purpose,remove,breakfast icon,5,5,5,3.0,2
401,Exploration and Navigation,Layout,breakfast icon,improve,clear and functional checkbox,7,7,7,4.0,3
402,Exploration and Navigation,Layout,breakfast icon,adjust,positioning use design software to ensure alignment,6,6,6,3.0,3
404,Exploration and Navigation,Layout,ranking text,increase,current button size,6,6,6,3.0,3
405,Exploration and Navigation,Layout,setting bar,increase,setting bar,6,6,6,3.0,3
407,Exploration and Navigation,Layout,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,6,6,3.0,3
