id,task,verb,obj
245,Explore app feature like(rating send feedback ) and share via available option,send,feedback
246,Discover the sharing option to easily share the app with other,discover,sharing
247,Select method for sharing app,,
248,Input criterion to sign in,,
249,Enter your detail to sign in to bookshelf,enter,detail
250,Enter email i d to sign in,enter,email
251,Plan and start full body workout,start,body
252,Tap on the plus icon or explore the workout plan,,
253,Select and get started with full body workout,,
254,Search and view the weather forecast info for san francisco ca,view,francisco
255,View the weather condition of san fransisco,view,fransisco
256,Explore weather,,
257,Center map on my current location,,
258,View and set location,,
259,Set your location on the map,set,location
260,Explore the vast library of nintendo switch game,explore,nintendo
261,Select or download a game to play,download,game
262,Select game to play,,
263,Manage menu planner,manage,planner
264,View menu planner for month,,
265,Calendar list,,
266,Read like comment and save post along with check more feature like filter search etc,,
267,Click to dismiss the help message and explore the available option in talklife,dismiss,message
268,View and comment on the post,,
269,Explore breakfast option or search for specific item,,
270,View or search breakfast recipe,,
271,View the breakfast food item,view,breakfast
272,Enter e - mail and click on next button to get information about datum backup,enter,mail
273,Enter your email for backup on womanlog server,enter,email
274,Click next to move to the next page of womanlog,,
275,Manage or view your travelling plan,view,plan
276,Check start and end time or distance for walking from one place to another,check,distance
277,Check status of connection detail,check,connection
278,Enter personal information to create account,enter,information
279,Add a photo and enter detail to create an account,add,photo
280,Complete your profile,complete,profile
281,Explore or view technology content or verify phone number,view,technology
282,Verify the phone number to follow technology event and like or share with other,verify,phone
283,Explore technology event list,,
284,Select credential to view sim detail,,
285,Enter mobile number to apply for sim,enter,number
286,Enter phone number to get information,enter,phone
287,Set the application preference,set,application
288,Manage your setting,manage,setting
289,Manage setting,,
290,Explore option within the user tab or navigate to the game or team tab,,
291,View or explore your profile detail from the user menu,explore,profile
292,Manage user profile page option,manage,user
293,Proceed to next button to customize weather,proceed,button
294,Click next to track weather by sharing location,,
295,Track weather,,
296,Browse item and member,browse,member
297,Search women item and explore other more option,,
298,Search item and member,,
299,Check the weather hourly and wind speed of new york,check,weather
300,Monitor the hourly temperature and wind speed in new york,monitor,wind
301,Provide weather information for new york,provide,york
302,Login to connect with the community,,
303,Log in from facebook or google + or email,log,
304,Login into your using facebook or google,login,facebook
305,Translate the word to another language,translate,word
306,Look up the meaning of text or translation using the bravolol app,look,meaning
307,Enter word to translate,enter,word
308,Check out the christma gift and manage the gift list,check,christma
309,Read or skip introduction to proceed,skip,introduction
310,Explore the welcome page of gift,explore,gift
311,Search location by city zip code airport code,,
312,Search location by city or zip or airport code,,
313,Search the location by city zip code airport code,search,location
314,Click to view the saved bmi datum,view,bmi
315,Manage setting,,
316,Save the setting,save,setting
317,Search the bookmarked auction,search,auction
318,Review bookmarked auction or explore other available auction option,bookmarke,auction
319,Tap to bookmark an auction,,
320,Enter input for login to guyspy,enter,login
321,Enter username and password for logging in,enter,password
322,Enter detail to login,enter,detail
323,Enter detail to register a carmel account or login with the existing one,enter,detail
324,Register for a carmel account,register,carmel
325,Create a new account or login with the existing one,create,account
326,Continue to plan your trip or skip the tour,plan,trip
327,Plan your trip by picking your interest,plan,trip
328,Select interest to continue,,
329,Adjust and save setting,,
330,Manage notification setting,manage,notification
331,Save the setting,save,setting
332,View nearby ga station,view,ga
333,View the list of ga station,view,ga
334,View the list of ga station,view,ga
335,Explore and view daily gem,,
336,Add your first health log,add,health
337,Track health status log,,
338,View yahoo finance watchlist or switch to news or market tab,,
339,Review the watchlist on yahoo finance or switch to the news or market section,review,watchlist
340,Manage your finance,manage,finance
341,Search or browse gumtree za nearby or post free ad,browse,za
342,Search gumtree za or browse category or post free ad,,
343,View and post free ad for classified,,
344,Tap to confirm your email addres to link to facebook,,
345,Confirm your email addres to continue,,
346,Cancel or refresh to the message to confirm the email addres,,
347,Select your preferred cycle length from the option below,select,length
348,Select cycle length,,
349,Select the cycle length,select,length
350,Select the week name from the list,,
351,Manage setting for time and date,set,time
352,Explore time and date,,
353,Adjust the setting option,adjust,setting
354,Set your preference for setting,set,preference
355,Manage airport setting,manage,airport
356,Find product by entering keyword or explore alternative option,find,product
357,Search product by entering a keyword,,
358,Select an option to explore,select,option
359,Explore the below listed available option,explore,option
360,Select an option from menu,select,menu
361,Record beat on music maker,beat,maker
362,View the list of soccer league,view,soccer
363,View the list of league,view,league
364,View a list of soccer league,view,soccer
365,View all survey,view,survey
366,Pull down to refresh and view more survey,,
367,View survey,,
368,Submit or send your feedback,send,feedback
369,Write and send as feedback,send,feedback
370,Send feedback,send,feedback
371,Manage garden wifi tether,manage,garden
372,Manage open garden wifi tether,manage,garden
373,Manage wifi tether,manage,wifi
374,Search or set your destination,set,destination
375,Set destination by searching,set,destination
376,Start a ride,start,ride
377,Click get the app to download ampme or explore the faq,,
378,Read the faq or get the app,read,faq
379,Read the faq for ampme app,read,ampme
380,Rate the comic,rate,comic
381,Give feedback to comic book,give,feedback
382,Write the feedback of comic,write,feedback
383,Select an option to share horoscope detail,select,horoscope
384,Select an option to share horoscope,select,horoscope
385,Sharing horoscope,share,horoscope
386,Click download to download game talking bird on wire,,
387,Click to download the game,download,game
388,Download talking bird on a wire,,
389,Select your plan and subscribe,select,plan
390,Read or explore series guide to unlock all feature banner to subscribe or get x pass,explore,banner
391,Subscribe to seriesguide and unlock all feature,unlock,feature
392,Explore the option listed in jon brown profile under engine code,explore,jon
393,Lookup code of trouble or engine or equipment,,
394,Look up information about engine trouble code,look,trouble
395,Explore the menu option for the device,explore,device
396,Explore the menu option for the device,explore,device
397,Manage option page for user,,
398,Select an option to explore,select,option
399,View the sidebar menu of restaurant brewhouse,view,brewhouse
400,View a list of option,view,list
401,Explore salad menu and price,explore,salad
402,View menu of starter salad,,
403,View food menu and price,view,food
404,Click find more favorite to create favorite list or switch to suggested to explore more option,find,
405,Search favorite list or schedule event,,
406,View favorite or search for team event or venue,,
407,Explore the available option within the aroundme app,explore,option
408,Select an option from the menu of a app called aroundme,select,app
409,Select an option to explore,select,option
410,Choose an option for car ecu maintenance,choose,ecu
411,Select from the option shown,,
412,Explore the vw - audi option,explore,vw
413,Manage setting,,
414,Manage setting,,
415,Manage setting,,
416,View weather forecast,view,forecast
417,View the weather forecast for urbana location daywise or swipe to change the location,,
418,View weather statistic,,
419,Review the license agreement and click to proceed,review,license
420,Accept or decline the end user license agreement,decline,end
421,Click to decline or accept the license agreement,,
422,Manage your security with cookie preference,manage,cookie
423,Read cookie use and permission,read,cookie
424,View permission and privacy datum,view,permission
425,Click on check box to select athletic,,
426,Select athletic to proceed,,
427,Select option of athletic,,
428,Manage the setting option,manage,setting
429,Choose to view an option from setting menu,view,menu
430,View and manage setting,,
431,Click the chat button to initiate a conversation with the designated person,,
432,Click the chat button to initiate a conversation with the designated person,,
433,,,
434,Track your diet plan or progress,track,diet
435,Track your activity for the next 21 day,track,activity
436,21 day health tracker app,,
437,Enter the personal information as input,enter,information
438,Please provide the information to create an account for the 21 day tracker community,provide,information
439,Enter detail to create an account,enter,detail
440,Tap to select animal sound ringtone,,
441,Select and set animal sound ringtone,set,animal
442,Explore the different animal sound ringtone by adjusting volume level,explore,animal
443,Play a quiz to uncover your past life,play,quiz
444,Choose from the option to open a file,choose,file
445,Manage option to open application,,
446,Select an option for tattoo cam to proceed,select,cam
447,View option on tattoo cam,,
448,View or select category from list,,
449,Fill in your detail to create your profile,fill,detail
450,Enter detail to create profile,enter,detail
451,Create profile for an account,create,profile
452,Search and make new friend,make,friend
453,Search and explore friend,explore,friend
454,Search member to make new friend,,
455,Check progres of uploading photo,check,photo
456,Upload a photo and view its progres,upload,photo
457,Share the quote on father day,share,quote
458,Adjust or set notification setting and save the change,set,notification
459,Manage notification setting,manage,notification
460,Change notification setting,change,notification
461,Enter required detail to continue,require,detail
462,Click on continue to proceed,,
463,Pick a username,pick,
464,Register to login to add magazine or comic to the library,,
465,Click magazine section to view magazine,,
466,Log in to add magazine to your library,,
467,Watch or share the video or follow valerie belanger,share,video
468,View hairstyle tutorial,,
469,Watch hair styling video,,
470,Tap to link or connect your twitter account to plume,,
471,Connect to twitter account or import setting to proceed,twitter,import
472,Select the option to connect to twitter account,select,twitter
473,View digital auto i d card,view,auto
474,Acces a digital copy of your proof of insurance,,
475,Acces the digital copy of i d card,,
476,Manage the setting to set the alarm,manage,alarm
477,Set music and time for alarm,,
478,Set and start an alarm,start,alarm
479,Track your sleep insight with the good night sleep alarm,track,sleep
480,Use the sleep alarm and measure the sleep movement by a sensor,use,sleep
481,Good night sleep alarm,,
482,Register by filling in your registration information,,
483,Enter detail to recover password and click on submit button,enter,detail
484,Enter detail and submit to register,enter,detail
485,Search for missing kid by name location and date,search,kid
486,Explore detail of missing kid,,
487,View the info about missing kid,,
488,Tap to use current location or add new location,,
489,Click on add location to proceed,,
490,Add your location,add,location
491,Click the start button to begin the full - body workout session in easy plan1,,
492,Track workout progres,,
493,Plan your workout,plan,workout
494,Manage your menstrual cycle,manage,cycle
495,View upcoming event and important date for august,view,event
496,Read about the new update,read,update
497,Tap on the close button to proceed after reading,,
498,Check latest update,check,update
499,Explore and read about various coupon and gif party related information,read,information
500,Select a coupon to redeem from vip lounge,select,lounge
501,Explore the vip lounge,explore,vip
502,Link facebook account to sonic,,
503,Sign in with facebook account,,
504,Sign - in using facebook account,,
505,Check fed tax refund amount and other estimated paid tax amount,check,fed
506,Check and track estimate tax paid,,
507,View information regarding tax paid,,
508,Pres talk to start recording,,
509,Press and hold to record,,
510,Select filter to record,,
511,Enter the required detail as input,enter,detail
512,Enter username and password to sign in,,
513,Enter username and password to sign in,,
514,Click to add folder and choose background color or pattern,add,folder
515,Enter folder title and color then click correct to add or go back to discard,enter,color
516,Enter name for creating folder and choosing a background pattern,enter,name
517,View the ranking,view,ranking
518,Read and know more about the ranking of different country,know,ranking
519,Check ranking,check,
520,View score of different sport team date wise,view,team
521,Check or view score,view,score
522,View scoreboard for all team,,
523,Play a song from the list,play,song
524,Listen and explore music,explore,music
525,Play or stop music or podcast,stop,podcast
526,Select an option to post a trick,select,trick
527,Select a method to post a trick,select,trick
528,Post a new trick,post,trick
529,Enter your verification code to proceed,enter,verification
530,Enter the verification code to log in or request to resend the code,enter,verification
531,Write a facebook post to share with friend,write,facebook
532,Write to post or share with friend on facebook,,
533,Write something to post,write,
534,Enter detail to search hotel,enter,detail
535,Enter current location to search,enter,location
536,Detail of hotel,,
537,Explore the app with a take a tour or skip,explore,app
538,Take a tour for yp,take,tour
539,Proceed with take a tour,,
540,Choose a basic or plus plan to proceed with flight reservation,choose,reservation
541,Select departure flight,,
542,Choose to proceed with basic or plus plan price,,
543,Search flight between bari and warsaw chopin for departure date 6 dec 2016 and return date 29 dec2016,,
544,Enter booking detail to search flight,book,detail
545,Search flight by entering your departure and arrival detail,,
546,Select the date from the calendar to set,select,calendar
547,Select the date for searching available flight,select,flight
548,Choose the date from the given calendar,choose,date
549,Manage weather notification,manage,weather
550,Enable or disable notification option,,
551,Alert for weather notification,,
552,Explore a list of polite expression,explore,expression
553,Study the polite expression,study,expression
554,View the study list for common polite expression,view,study
555,Click to make a baby image from an adult image and click on the save button or click on the menu button for more feature,make,baby
556,Select the menu or save button,select,menu
557,Make a baby photo with an adult photo,make,adult
558,Read poker room description,,
559,Read poker room related info and click on add to favorite button,,
560,Read information about poker room,read,poker
561,View downloading book progres or switch to downloaded,download,book
562,Check the download status,check,download
563,View downloading book,download,book
564,View catch up news article,catch,article
565,Chose an article to read,chose,article
566,Check the latest news,check,news
567,Explore the selection of men short sleeve t - shirt featuring casual round neck design with world map print,explore,man
568,Check product description and availability,check,description
569,Click to return from product page,return,page
570,Enter the mobile number and click on submit button or click on cancel button,enter,number
571,Enter required detail to register in verizon familybase,require,detail
572,Enter mobile number to register,enter,number
573,Choose your preferred option from the menu,choose,menu
574,Please choose an option to explore further,choose,option
575,Explore the menu,explore,menu
576,Enter detail to sign up or sign up with the facebook,enter,detail
577,Enter detail to sign up or sign up with facebook,enter,detail
578,Read about application problem,read,problem
579,Read the problem about the application,read,problem
580,Read problem of app,read,problem
581,Select an option for quiz,select,quiz
582,Learn word by playing a game,learn,word
583,Translate vocabulary with britannica english game and flashcard,translate,britannica
584,Manage setting or switch to other tab within openvpn,,
585,Manage setting for the openvpn,,
586,Manage setting of vpn,,
587,Manage map setting,,
588,Manage map setting,,
589,Change map setting,,
590,Search filter and read post,,
591,Read article or search for specific one in the just in,,
592,Filter movie by entering their title,,
593,Manage the setting option,manage,setting
594,Manage the setting menu,manage,menu
595,View setting menu,,
596,Review your privacy and security setting,review,security
597,Manage privacy and security setting,manage,security
598,Review and manage the privacy and security setting,manage,security
599,Click buy now to purchase the bible audiobook,,
600,Purchase the bible audio for android,purchase,bible
601,Explore the bible offline,explore,offline
602,Set your preference for go(start ),set,preference
603,Do setup for weight track,do,setup
604,Enter the preferred input,enter,input
605,Acces and manage option in the accessibility setting,,
606,View and manage accessibility setting,manage,accessibility
607,Set preference for accessibility,set,accessibility
608,Personalize the city owl good night message and choose recipient,personalize,owl
609,Add your personal touch and select recipient,add,touch
610,Add a comment to share the gif image,add,gif
611,Customize your nail art with the edit feature,customize,nail
612,View or edit the nail design and click on save,edit,nail
613,Try different nail color and texture,try,texture
614,Check or view shopping cart product to buy,view,cart
615,Checkout a product from shopping cart,checkout,cart
616,Select the checkout option to checkout,select,checkout
617,Choose a sport and click next to view athlete information,choose,sport
618,Select a category to explore,select,category
619,View information about the sport,view,sport
620,Enter or select required detail to proceed to next page,select,detail
621,Choose one option from the given option,choose,option
622,Select an option from the list,select,list
623,Adjust notification setting,adjust,notification
624,Manage push notification,push,notification
625,Manage notification,manage,notification
626,Complete workout and review progres,,
627,Click the done button once you ve completed 20 high knee,,
628,See the status of high knee performance,see,knee
629,View the restaurant hour and booking availability,book,availability
630,View the no table available within 3 hour message for instant booking or read about santina restaurant,,
631,View about information about santina restaurant,view,santina
632,Read about the new version,read,version
633,Read about the new version,read,version
634,Read about the new version,read,version
635,Choose your preferred option from the list,choose,list
636,Select any of the available option,select,option
637,Select a menu option,,
638,Click to pay or enter redeem code to get life time license,,
639,Enter redeem code to get a lifetime license,enter,code
640,Get lifetime license by paying,get,lifetime
641,Create account to get registered,create,account
642,Enter input for register to create account,enter,input
643,Click register to create a new account,,
644,Read the article about the oak tree and the reed,read,oak
645,Read the story of the oak tree and the reed and check detail,read,oak
646,Read the story now,read,story
647,Tap to start quiz or view high score,,
648,Select an option to proceed,select,option
649,Choose to start a quiz or or view high score,start,quiz
650,Select an option to play,select,option
651,Read the recommended story and do like comment,read,story
652,Explore the recommended story,explore,story
653,Enter your credential to sign in,enter,credential
654,Enter the email and password,enter,password
655,Sign in or create a new account for qt,,
656,Browse and select or add news source,,
657,Search source to add,,
658,Search and add news source,add,source
659,Update the ryanair app with a simple click on the update button,update,ryanair
660,Tap the google play button to download the updated version of the ryanair app,Tap,google
661,Update ryanair app,,
662,Search and explore japanese recipe,explore,recipe
663,View or search japanese recipe,,
664,View or search japanese recipe,,
665,Select a song to play from below list,select,song
666,Select and play a song file,play,file
667,Explore the song from list,explore,song
668,Select android beam app to send email,send,email
669,Click android beam to send an email,,
670,Choose the sharing platform to send email,choose,platform
671,Click website to download the kjv bible app on google play,,
672,Click on suggest or the link for the official website,,
673,Get help and check the official website for kjv bible,get,
674,View rental property detail price or availability,view,price
675,Review the rental property detail and verify its availability,review,property
676,View detail and check availability of rental property,check,property
677,Enter detail and click check availability to schedule a viewing rental property,enter,detail
678,Enter the personal information as input,enter,information
679,Enter the detail to check availability,enter,detail
680,Enter your detail and check the rent availability,enter,detail
681,Search and explore woman category item,explore,woman
682,Select a category of product from woman category,select,woman
683,Choose the category from the list,choose,category
684,Exploring and earning reward in our shop,earn,reward
685,Search and shop product to get reward,,
686,Choose option from the list below,choose,list
687,Select an option and click done to confirm or reset to clear,select,option
688,Select from the option provided,,
689,Explore the menu option,explore,menu
690,Select an option from a list of menu,select,menu
691,View sidebar of osho wisdom,,
692,Enter your credential to log in,enter,credential
693,Login with the facebook or enter detail to login with the virtuagym or register an account,login,facebook
694,Enter detail to login to virtuagym,enter,detail
695,Select your native language from the following option,select,language
696,Select the preferred native language,select,language
697,Select a language,,
698,Click on call log number to get user name network and addres,,
699,Proceed to next page to find user detail,proceed,page
700,Find personal detail about the user,find,user
701,Tap to listen to the article on radio,,
702,Play to listen the audio under radio,listen,audio
703,Play the audio,play,audio
704,Select the ringtone from library section or switch to cropped or contact,select,ringtone
705,Search and select the music ringtone from the list,select,music
706,Cut or edit your ringtone,edit,ringtone
707,Track stat penalty and check the amount,,
708,Select a plan to upgrade to looper,select,plan
709,Upgrade now for advanced stat,upgrade,stat
710,Read or listen to given language,listen,language
711,Select language from the list,,
712,Select any language and listen,select,language
713,Click to play or learn the guitar chord,,
714,Manage the setting for the g - chord,manage,chord
715,Click to play or learn the guitar chord,,
716,Sign up or log in your geigo account,log,account
717,Choose from the available option to proceed,choose,option
718,View the option on the home page for geico,view,geico
719,Explore the available workout option or click to more,explore,workout
720,Select from the option or view more,,
721,Choose from the given option and get more,choose,option
722,Choose the pokemon from the list,choose,pokemon
723,Search a pokemon or view a list of pokemon,search,pokemon
724,Explore the list of pokemon,explore,pokemon
725,Choose your sign - in method,choose,sign
726,Select method to signup for stackexchange,,
727,Select option to sing in to stack exchange,,
728,View and explore weather,explore,weather
729,View the hourly weather update for may 4 2017,view,may
730,View the weather forecast,view,forecast
731,Reject or accept developer disclaimer,accept,developer
732,Accept or reject the disclaimer,reject,disclaimer
733,Accept or reject the term and condition,reject,term
734,View starbucks busines detail,starbuck,detail
735,View the busines detail of starbuck,view,starbuck
736,Find the info about starbuck on map,find,starbuck
737,Search and check saved favorite lyric,save,lyric
738,View the favorite page,view,page
739,Save favorite lyric,save,lyric
740,Read term and condition,,
741,Read or view term and condition of personal and busines banking,view,banking
742,Read the term and condition about personal and busines banking,read,banking
743,Read article about the barrel room new partnership,,
744,Explore the detail of wine bar - restaurant,explore,wine
745,Visit us at our new location,visit,
746,Input credential to sign in,,
747,Enter input for sign in,enter,sign
748,Sign in or register for the account,,
749,Explore or review the blog to buy product on banggood,review,blog
750,Read one of the blog on the application,read,blog
751,Select blog to read,,
752,Select a transport medium for travel,select,transport
753,Select an option to explore,select,option
754,Select an option to explore,select,option
755,Set up a profile by importing info from social account,set,profile
756,Manage the profile with various option available,manage,profile
757,View and manage user profile,manage,user
758,Input criterion to search upcoming event or switch to all upcoming or past,,
759,Check upcoming event list,check,event
760,Search event,,
761,Select an option to explore,select,option
762,View detail of the event,view,event
763,Select from the option of the event page,,
764,Check the progres of the work,check,work
765,Track and explore about work,explore,work
766,Track your work round and total time left,track,work
767,Browse our collection of customization wedding template,browse,customization
768,Select a wedding template,select,wedding
769,Select a template,select,template
770,Browse the classic children book charlotte web,browse,charlotte
771,Search and check detail of a book charlotte web to buy a copy,check,charlotte
