id,comment1_problem,comment1_solution_verb,comment1_solution_obj,comment2_problem,comment2_solution_verb,comment2_solution_obj,comment3_problem,comment3_solution_verb,comment3_solution_obj,comment4_problem,comment4_solution_verb,comment4_solution_obj,comment5_problem,comment5_solution_verb,comment5_solution_obj,comment6_problem,comment6_solution_verb,comment6_solution_obj,comment7_problem,comment7_solution_verb,comment7_solution_obj
22,current lack,consider,unknown,header and sub header,unknown,unknown,Feedback heading,make,heading,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
23,unknown,leave alignment,text and title,text and title,change,text and title,ranking text,align,ranking text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
24,heading and text body,consider,unknown,unknown,unknown,unknown,text and title,change,text and title,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
25,ranking text,increase,current button size,ranking text,change,text color contrast,unknown,add,forgot passcode hyperlink,unknown,add,button or icon allow user to see current location,breakfast icon,increase,setting bar,purpose and function,arrange,purpose and function,unknown,remove,advertisement
26,location tab,adjust,separate background,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
27,days\ name,unknown,unknown,breakfast icon,replace,breakfast icon,breakfast icon,replace,breakfast icon,ranking text,increase,current button size,facebook app,make,designer,unknown,unknown,unknown,unknown,unknown,unknown
28,highlighted section,increase,separate background,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
29,unknown,unknown,unknown,"Board , Area PIN code and Mobile Nofields",align,pop-up 's dimension,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
30,setting bar,add,appropriate icon clearly represent function,unknown,improve,placeholder image or alternative visual content,"Board , Area PIN code and Mobile Nofields",align,pop-up 's dimension,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
31,text 's small size and low color contrast,increase,separate background,purpose and function,reintegrate,clear layout and intuitive navigation,ranking text,make,text color contrast,purpose and function,align,purpose and function,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
32,breakfast icon,adjust,color weight,button or icon allow user to see current location,distinguish,button or icon allow user to see current location,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
33,current button size,uniform font style to be use consistently,purpose and function,Showroom,consider,unknown,purpose and function,align,purpose and function,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
34,highlighted section,enlarge,stand highlight,highlighted section,enlarge,button or icon allow user to see current location,facebook app,reduce,repeat number,current button size,increase,current button size,ranking text,be,more readable font,positioning use design software to ensure alignment,be,ranking text,unknown,unknown,unknown
35,menu icon and label match centre,align,purpose and function,positioning use design software to ensure alignment,be,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
36,text and title,increase,current button size,ranking text,be,more readable font,positioning use design software to ensure alignment,increase,space element,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
37,setting bar,separation,breakfast icon,unknown,consider,unknown,ranking text,uniform font style to be use consistently,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
38,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,button or icon allow user to see current location,consider,unknown,button or icon allow user to see current location,make,unknown,separate background,consider,unknown,facebook app,reintroduce,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown
39,breakfast icon,change,text color contrast,uniform font style to be use consistently,uniform font style to be use consistently,appropriate icon clearly represent function,breakfast icon,change,breakfast icon,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
40,positioning use design software to ensure alignment,improve,legibility,ranking text,make,ranking text,"spell error , such",proofread,ranking text,unknown,remove,purpose and function,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
41,purpose and function,add,section border,ranking text,increase,current button size,positioning use design software to ensure alignment,reintegrate,clear and functional checkbox,unknown,unknown,unknown,unknown,apply,consistent style,power,give,similar graphic treatment,unknown,unknown,unknown
42,HELP,increase,placeholder image or alternative visual content,purpose and function,remove,purpose and function,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
43,text color contrast,consider,unknown,unknown,increase,current button size,text color contrast,increase,text color contrast,button or icon allow user to see current location,emphasize,button or icon allow user to see current location,button or icon allow user to see current location,add,button or icon allow user to see current location,uniform font style to be use consistently,change,text color contrast,unknown,unknown,unknown
44,eSports,leave alignment,heading,button or icon allow user to see current location,add,boundary,current lack,change,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
45,uniform font style to be use consistently,change,text color contrast,ranking text,leave alignment,fix,loading issue,make,unknown,uniform font style to be use consistently,change,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
46,text 's small size and low color contrast,increase,current button size,responsiveness,prioritize,"more common language , such",legal category background,adjust,legal category background,positioning use design software to ensure alignment,declutter,positioning use design software to ensure alignment,confusing layout and unclear navigation,declutter,confusing layout and unclear navigation,unknown,unknown,unknown,unknown,unknown,unknown
47,header and sub header,adjust,text color contrast,list,click,purpose and function,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
48,separate background,unknown,unknown,unknown,change,text color contrast,word dictionary,consider,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
49,unknown,reintegrate,clear close icon,current lack,add,vibrant and eye-catch color,unknown,consider,unknown,purpose and function,add,section border,information,make,unknown,unknown,remove,purpose and function,unknown,unknown,unknown
50,menu option layout,add,menu option layout,sign,replace,sign,button or icon allow user to see current location,add,button or icon allow user to see current location,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
51,taskbar,improve,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,information,make,unknown,prominently position back button,uniform font style to be use consistently,placeholder image or alternative visual content,unknown,unknown,unknown,unknown,unknown,unknown
52,ranking text,increase,current button size,ranking text,change,text color contrast,unknown,uniform font style to be use consistently,current button size,purpose and function,thorough redesign,ui,unknown,thorough redesign,ui,unknown,be,standardize,current button size,increase,current button size
53,prominently position back button,create button,placeholder image or alternative visual content,heading and text body,be,heading,current button size,make,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
54,unknown,unknown,unknown,ranking text,increase,separate background,unknown,apply,consistent style,button or icon allow user to see current location,resize,button or icon allow user to see current location,clear and functional checkbox,make,designer,unknown,unknown,unknown,unknown,unknown,unknown
55,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,unknown,ensure,systematic arrangement,ranking text,increase,current button size,separate background,opt,unknown,uniform font style to be use consistently,consider,unknown,unknown,unknown,unknown,unknown,unknown,unknown
56,back arrow icon,align,back arrow icon,Choose and km button,align,Choose and km button,unknown,unknown,unknown,button or icon allow user to see current location,relabele,Search,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
57,separate background,choose,positioning use design software to ensure alignment,button or icon allow user to see current location,increase,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
58,ranking text,increase,ranking text,unknown,uniform font style to be use consistently,current button size,Restore Purchase,change,Restore Purchase,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
59,appropriate icon clearly represent function,add,ranking text,Restore Purchase,change,Restore Purchase,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
60,setting bar,adjust,text color contrast,appropriate icon clearly represent function,replace,appropriate icon clearly represent function,Restore Purchase,clarify,nature,ranking text,change,ranking text,Restore Purchase,change,Restore Purchase,unknown,unknown,unknown,unknown,unknown,unknown
61,facebook app,consider,unknown,location tab,enlarge,button or icon allow user to see current location,check box size,enlarge,current button size,separate background,choose,text color contrast,current button size,make,current button size,separation line,make,separation line,unknown,unknown,unknown
62,ranking text,increase,separate background,current button size,make,current button size,text color contrast,make,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
63,current lack,add,consistent margin,current lack,try,unknown,unknown,be,purpose and function,current button size,make,current button size,separation line,make,separation line,unknown,unknown,unknown,unknown,unknown,unknown
64,ranking text,increase,current button size,positioning use design software to ensure alignment,uniform font style to be use consistently,positioning use design software to ensure alignment,unknown,remove,purpose and function,positioning use design software to ensure alignment,thorough redesign,facebook app,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
65,unknown,unknown,unknown,unknown,unknown,unknown,button or icon allow user to see current location,improve,placeholder image or alternative visual content,uniform font style to be use consistently,choose,"more common language , such",purpose and function,move,purpose and function,positioning use design software to ensure alignment,thorough redesign,facebook app,unknown,unknown,unknown
66,ranking text,make,unknown,uniform font style to be use consistently,uniform font style to be use consistently,text color contrast,cross button,give,placeholder image or alternative visual content,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
67,unknown,be,unknown,ranking text,increase,current button size,purpose and function,reintegrate,systematic arrangement,purpose and function,add,section border,unknown,reintegrate,user-friendly menu system,ranking text,increase,ranking text,purpose and function,align,purpose and function
68,810 digit,clarify,primary purpose,setting bar,add,clear label,breakfast icon,offer,clear label,purpose and function,align,purpose and function,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
69,unknown,unknown,unknown,ranking text,uniform font style to be use consistently,ranking text,button or icon allow user to see current location,remove,button or icon allow user to see current location,positioning use design software to ensure alignment,declutter,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
70,ranking text,increase,current button size,ranking text,change,text color contrast,breakfast icon,increase,setting bar,ranking text,increase,ranking text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
71,unknown,unknown,unknown,confusing layout and unclear navigation,make,confusing layout and unclear navigation,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
72,ranking text,increase,current button size,ranking text,increase,ranking text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
73,description,align,ranking text,item load but lack proper visual-blank image,increase,spacing,purpose and function,align,purpose and function,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
74,item load but lack proper visual-blank image,add,space element,ranking text,leave alignment,ranking text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
75,highlighted section,add,placeholder image or alternative visual content,ranking text,try,unknown,ranking text,increase,separate background,purpose and function,align,purpose and function,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
76,Get Status and privacy notice label,move,Update Questions button,setting page,give,text and title,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
77,button or icon allow user to see current location,add,button or icon allow user to see current location,heading,increase,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
78,ranking text,try,unknown,clear label or tool tip,add,pagination feature,ranking text,leave alignment,ranking text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
79,unknown,unknown,unknown,current button size,resize,button or icon allow user to see current location,cancel button,align,cancel button,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
80,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
81,cancel button,uniform font style to be use consistently,text color contrast,more readable font,be,more readable font,ranking text,increase,dark color scheme Bounding Box,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
82,ranking text,uniform font style to be use consistently,text color contrast,Receipt Hog,revise,ranking text,ranking text,revise,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
83,same passage,maintain,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
84,poor color contrast,choose,stand highlight,ranking text,uniform font style to be use consistently,text color contrast,unknown,uniform font style to be use consistently,text 's small size and low color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
85,current ad section,move,current ad section,ranking text,increase,current button size,unknown,unknown,unknown,purpose and function,increase,unknown,positioning use design software to ensure alignment,increase,designer,more readable font,uniform font style to be use consistently,large font size and more white space Bounding Box,unknown,unknown,unknown
86,unknown,arrange,purpose and function,facebook app,declutter,confusing layout and unclear navigation,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
87,systematic arrangement,button place,current ad section,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
88,ranking text,consider,unknown,unknown,uniform font style to be use consistently,text color contrast,facebook app,uniform font style to be use consistently,current button size,facebook app,uniform font style to be use consistently,more familiar icon and term,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
89,positioning use design software to ensure alignment,organize,highlighted section,facebook app,uniform font style to be use consistently,space element,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
90,breakfast icon,consider,unknown,ranking text,adjust,text color contrast,facebook app,uniform font style to be use consistently,more familiar icon and term,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
91,current button size,increase,current button size,item load but lack proper visual-blank image,ensure,unknown,button or icon allow user to see current location,change,text color contrast,facebook app,reintroduce,vibrant and eye-catch color,ranking text,increase,ranking text,user-friendly menu system,give,placeholder image or alternative visual content,unknown,unknown,unknown
92,positioning use design software to ensure alignment,add,breakfast icon,breakfast icon,resize,breakfast icon,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
93,confusing layout and unclear navigation,change,text color contrast,confusing layout and unclear navigation,add,setting bar,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
94,ranking text,increase,current button size,ranking text,change,text color contrast,current button size,increase,current button size,unknown,increase,current button size,unknown,unknown,unknown,ranking text,increase,ranking text,unknown,unknown,unknown
95,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,Sign inbutton,enlarge,button or icon allow user to see current location,current button size,increase,current button size,breakfast icon,make,unknown,ranking text,increase,current button size,error and omission except,enlarge,error and omission except,ranking text,increase,ranking text
96,date,change,date,text color contrast,change,color weight,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
97,clear and functional checkbox,change,ui,unknown,increase,length,current button size,increase,current button size,unknown,adjust,text color contrast,ranking text,uniform font style to be use consistently,current button size,purpose and function,align,text field,facebook app,uniform font style to be use consistently,placeholder image or alternative visual content
98,current button size,increase,current button size,Register button,distinguish,placeholder image or alternative visual content,ranking text,uniform font style to be use consistently,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
99,breakfast icon,align,text and title,call,increase,current button size,current button size,increase,current button size,"more common language , such",add,space element,ranking text,uniform font style to be use consistently,current button size,clear and functional checkbox,uniform font style to be use consistently,text color contrast,facebook app,uniform font style to be use consistently,placeholder image or alternative visual content
100,button or icon allow user to see current location,add,button or icon allow user to see current location,unnecessarily large font,reduce,space element,ranking text,uniform font style to be use consistently,current button size,ranking text,uniform font style to be use consistently,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
101,button or icon allow user to see current location,add,button or icon allow user to see current location,unknown,consider,unknown,ranking text,increase,separate background,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
102,heading,move,heading,unknown,unknown,unknown,ranking text,uniform font style to be use consistently,large font size and more white space Bounding Box,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
103,breakfast icon,adjust,text color contrast,current lack,establish,consistent margin,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
104,unknown,add,consistent margin,positioning use design software to ensure alignment,declutter,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
105,more readable font,increase,current button size,positioning use design software to ensure alignment,declutter,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
106,button or icon allow user to see current location,center,button or icon allow user to see current location,button or icon allow user to see current location,center,button or icon allow user to see current location,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
107,button or icon allow user to see current location,adjust,text color contrast,button or icon allow user to see current location,adjust,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
108,ranking text,consider,unknown,text color contrast,change,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
109,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,current button size,increase,current button size,button or icon allow user to see current location,consider,unknown,text color contrast,consider,unknown,date,display,date,unknown,unknown,unknown,unknown,unknown,unknown
110,purpose and function,reintegrate,placeholder image or alternative visual content,date,display,date,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
111,current button size,increase,current button size,text color contrast,uniform font style to be use consistently,text color contrast,ranking text,be,ranking text,date,display,date,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
112,unknown,increase,text color contrast,positioning use design software to ensure alignment,uniform font style to be use consistently,text color contrast,purpose and function,add,section border,button or icon allow user to see current location,change,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
113,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,unknown,adjust,text color contrast,ranking text,increase,current button size,button or icon allow user to see current location,consider,unknown,text color contrast,consider,unknown,text color contrast,change,text color contrast,unknown,unknown,unknown
114,ranking text,uniform font style to be use consistently,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
115,ranking text,increase,current button size,ranking text,change,text color contrast,current button size,increase,current button size,unknown,thorough redesign,unknown,unknown,add,button or icon allow user to see current location,placeholder image or alternative visual content,make,unknown,positioning use design software to ensure alignment,revise,positioning use design software to ensure alignment
116,breakfast icon,adjust,current button size,setting bar,move,button or icon allow user to see current location,unknown,unknown,unknown,two label,change,two label,placeholder image or alternative visual content,uniform font style to be use consistently,placeholder image or alternative visual content,positioning use design software to ensure alignment,revise,positioning use design software to ensure alignment,positioning use design software to ensure alignment,increase,space element
117,current button size,increase,separate background,breakfast icon,adjust,button 's width,date,increase,separate background,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
118,close proximity,increase,unknown,ranking text,increase,current button size,unknown,reintegrate,clear layout and intuitive navigation,ranking text,uniform font style to be use consistently,current button size,current ad section,uniform font style to be use consistently,space element,confusing layout and unclear navigation,uniform font style to be use consistently,confusing layout and unclear navigation,unknown,unknown,unknown
119,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,current button size,increase,current button size,heart icon,enlarge,heart icon,ranking text,uniform font style to be use consistently,current button size,unknown,unknown,unknown,unknown,unknown,unknown
120,name,be,information,ranking text,uniform font style to be use consistently,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
121,ranking text,increase,current button size,current button size,increase,current button size,unknown,try,unknown,unknown,thorough redesign,setting page,clear and functional checkbox,make,designer,unknown,unknown,unknown,unknown,unknown,unknown
122,unknown,unknown,unknown,current lack,reintegrate,clear layout and intuitive navigation,location tab,reintegrate,more appropriate visual cue,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
123,ranking text,increase,current button size,unknown,increase,sign,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
124,purpose and function,reintroduce,"more common language , such",text color contrast,highlighted part darker,ranking text,ranking text,change,text color contrast,purpose and function,align,purpose and function,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
125,ranking text,increase,text color contrast,begin button,improve,placeholder image or alternative visual content,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
126,choice,try,unknown,ranking text,change,text color contrast,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
127,ranking text,increase,current button size,unknown,try,unknown,unknown,thorough redesign,unknown,ranking text,increase,ranking text,positioning use design software to ensure alignment,revise,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown
128,menu option layout,add,heading,menu option layout,consider,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
129,ranking text,increase,current button size,ranking text,change,text color contrast,breakfast icon,increase,setting bar,unknown,thorough redesign,unknown,more readable font,increase,current button size,text color contrast,be,text color contrast,unknown,unknown,unknown
130,text color contrast,consider,unknown,"x button , be white",consider,unknown,more readable font,increase,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
131,cross button,change,text color contrast,more readable font,maintain,more readable font,more readable font,increase,current button size,more concise language,be,Privacy Notice link,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
132,login and logo,enlarge,login and logo,Sign inbutton,adjust,text color contrast,abundance,remove,purpose and function,unknown,reintroduce,button or icon allow user to see current location,Sign inbutton,make,Sign inbutton,forgot passcode hyperlink,give,similar graphic treatment,unknown,unknown,unknown
