id,comment_problem,comment_verb,comment_obj
94,ranking text,increase,current button size
95,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
96,date,change,date
97,clear and functional checkbox,change,ui
98,current button size,increase,current button size
99,breakfast icon,align,text and title
100,button or icon allow user to see current location,add,button or icon allow user to see current location
101,button or icon allow user to see current location,add,button or icon allow user to see current location
102,heading,move,heading
103,breakfast icon,adjust,text color contrast
105,more readable font,increase,current button size
106,button or icon allow user to see current location,center,button or icon allow user to see current location
107,button or icon allow user to see current location,adjust,text color contrast
109,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
110,purpose and function,reintegrate,placeholder image or alternative visual content
111,current button size,increase,current button size
113,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
114,ranking text,uniform font style to be use consistently,text color contrast
115,ranking text,increase,current button size
116,breakfast icon,adjust,current button size
117,current button size,increase,separate background
119,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
120,name,be,information
121,ranking text,increase,current button size
123,ranking text,increase,current button size
124,purpose and function,reintroduce,"more common language , such"
125,ranking text,increase,text color contrast
127,ranking text,increase,current button size
128,menu option layout,add,heading
129,ranking text,increase,current button size
131,cross button,change,text color contrast
132,login and logo,enlarge,login and logo
135,separate background,ensure,text color contrast
136,facebook app,enlarge,facebook app
137,placeholder image or alternative visual content,uniform font style to be use consistently,placeholder image or alternative visual content
138,ranking text,leave alignment,ranking text
139,ranking text,increase,separate background
142,item load but lack proper visual-blank image,increase,current button size
145,heading,increase,current button size
148,purpose and function,uniform font style to be use consistently,icon or illustration depict offline reading
149,systematic arrangement,prominently position back button,live button
150,purpose and function,add,section border
151,breakfast icon,change,breakfast icon
152,breakfast icon,change,current button size
153,ranking text,increase,ranking text
154,breakfast icon,increase,separate background
155,positioning use design software to ensure alignment,maintain,systematic arrangement
158,heading,increase,current button size
159,prominently position back button,give,prominently position back button
162,ranking text,change,text color contrast
163,ranking text,increase,current button size
164,separation line,be,separation line
165,purpose and function,increase,separate background
166,breakfast icon,give,similar graphic treatment
168,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
170,\ and other,maintain,legibility
171,ranking text,increase,current button size
172,positioning use design software to ensure alignment,reintegrate,breakfast icon
173,home,increase,current button size
174,ranking text,increase,current button size
175,text color contrast,change,text color contrast
176,ranking text,increase,current button size
177,purpose and function,add,section border
179,color weight,increase,color weight
180,ranking text,change,ranking text
181,more readable font,uniform font style to be use consistently,current button size
183,positioning use design software to ensure alignment,add,"more common language , such"
184,button or icon allow user to see current location,change,text color contrast
185,menu option layout,enlarge,menu option layout
186,categorize,increase,spacing
187,black circle,show,text color contrast
188,current button size,increase,current button size
189,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
190,ranking text,increase,current button size
191,ranking text,increase,current button size
193,current button size,increase,current button size
195,two label,increase,current button size
196,positioning use design software to ensure alignment,create button,user-friendly menu system
197,ranking text,change,text color contrast
198,thumbnail,increase,separate background
200,login and logo,increase,current button size
201,purpose and function,omit,breakfast icon
203,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
204,breakfast icon,adjust,text color contrast
205,breakfast icon,adjust,text color contrast
206,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
208,ranking text,align,text 7
209,Change Log text,change,ranking text
210,breakfast icon,increase,separate background
211,ranking text,increase,current button size
212,current button size,maintain,large font size and more white space Bounding Box
213,button or icon allow user to see current location,add,button or icon allow user to see current location
214,positioning use design software to ensure alignment,thorough redesign,positioning use design software to ensure alignment
215,breakfast icon,ensure,systematic arrangement
216,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
217,current lack,uniform font style to be use consistently,space element
219,don\'t,improve,legibility
221,ranking text,increase,current button size
222,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
223,current button size,increase,current button size
224,ranking text,increase,current button size
225,ranking text,increase,current button size
227,ranking text,increase,separate background
228,ranking text,change,text color contrast
229,maybe later button,be,maybe later button
230,ranking text,increase,current button size
231,button or icon allow user to see current location,change,text color contrast
232,separate background,choose,positioning use design software to ensure alignment
233,current button size,enlarge,ranking text
234,text color contrast,change,text color contrast
235,ranking text,adjust,text color contrast
236,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
238,text and slider dot boldness,add,clear layout and intuitive navigation
239,purpose and function,add,button or icon allow user to see current location
240,ranking text,change,text color contrast
242,breakfast icon,reintegrate,miss checkbox icon
243,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
246,current button size,increase,current button size
247,facebook app,apply,"more common language , such"
248,ranking text,increase,current button size
249,separate background,choose,positioning use design software to ensure alignment
250,ranking text,increase,ranking text
251,ranking text,increase,current button size
252,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
253,more readable font,uniform font style to be use consistently,current button size
254,positioning use design software to ensure alignment,prioritize,essential content
255,ranking text,arrange,ranking text
256,breakfast icon,add,breakfast icon
257,ranking text,increase,current button size
258,Set Clock button,improve,placeholder image or alternative visual content
259,breakfast icon,change,breakfast icon
260,positioning use design software to ensure alignment,improve,clear and functional checkbox
261,star icon,add,two label
262,game,increase,current button size
263,breakfast icon,add,breakfast icon
264,advertisement,add,clear close icon
265,positioning use design software to ensure alignment,be,button or icon allow user to see current location
266,breakfast icon,increase,separate background
267,separate background,change,text color contrast
269,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
270,appropriate icon clearly represent function,increase,current button size
271,purpose and function,adjust,positioning use design software to ensure alignment
272,ranking text,increase,current button size
273,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
274,current button size,increase,current button size
275,ranking text,change,text color contrast
277,positioning use design software to ensure alignment,remove,dark color scheme Bounding Box
278,ranking text,increase,ranking text
281,ranking text,increase,current button size
282,current button size,uniform font style to be use consistently,more readable font
284,ranking text,increase,current button size
285,button or icon allow user to see current location,change,text color contrast
287,ranking text,increase,current button size
290,ranking text,increase,current button size
291,setting page,thorough redesign,setting page
293,heading,relocate,text and title
296,prominently position back button,give,prominently position back button
297,standardize,make,precise alignment and increase pad
298,blue icon,highlighted part darker,breakfast icon
299,uniform font style to be use consistently,swap,black circle
300,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
301,mo do not give sense look,be,spelling babsy
302,ranking text,increase,current button size
303,ranking text,be,separate background
306,breakfast icon,add,ranking text
308,positioning use design software to ensure alignment,reintegrate,breakfast icon
309,more readable font,change,more readable font
310,current button size,increase,current button size
311,ranking text,increase,separate background
312,absence,ncorporate,breakfast icon
314,ranking text,increase,current button size
318,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
319,ranking text,increase,ranking text
320,button or icon allow user to see current location,add,button or icon allow user to see current location
321,purpose and function,align,purpose and function
323,ranking text,break,space element
325,current login form,increase,current button size
326,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
327,Skip Tour button,improve,placeholder image or alternative visual content
328,Skip Tour button,give,placeholder image or alternative visual content
329,ranking text,increase,ranking text
330,ranking text,increase,text color contrast
332,button or icon allow user to see current location,add,button or icon allow user to see current location
336,breakfast icon,adjust,text color contrast
337,ranking text,uniform font style to be use consistently,more readable font
338,positioning use design software to ensure alignment,reintegrate,appropriate icon clearly represent function
339,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
340,color weight,increase,color weight
342,text color contrast,increase,separate background
344,ranking text,increase,current button size
345,button or icon allow user to see current location,add,boundary
346,current button size,increase,current button size
347,text Cycle Length,align,dark color scheme Bounding Box
348,repeat number,add,purpose and function
349,highlighted section,add,text color contrast
350,month name,remove,month name
351,star icon,change,text color contrast
352,play button icon,add,two label
353,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
354,ranking text,increase,ranking text
355,positioning use design software to ensure alignment,uniform font style to be use consistently,text color contrast
356,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
357,breakfast icon,adjust,systematic arrangement
359,ranking text,increase,current button size
360,text color contrast,increase,separate background
361,ranking text,increase,ranking text
362,breakfast icon,add,breakfast icon
363,breakfast icon,increase,current button size
365,breakfast icon,adjust,positioning use design software to ensure alignment
366,heading,increase,current button size
367,button or icon allow user to see current location,adjust,systematic arrangement
369,check box size,adjust,check box size
370,text field,increase,current button size
371,current button size,increase,current button size
372,breakfast icon,adjust,text color contrast
374,setting bar,appear,setting bar
375,purpose and function,add,clear layout and intuitive navigation
376,color weight,increase,color weight
379,heading frequently ask question,align,heading
380,menu option layout,enlarge,button or icon allow user to see current location
382,star icon,offer,clear layout and intuitive navigation
384,ranking text,increase,separate background
386,ranking text,change,text color contrast
387,item load but lack proper visual-blank image,adjust,current button size
388,item load but lack proper visual-blank image,adjust,positioning use design software to ensure alignment
393,breakfast icon,adjust,text color contrast
394,purpose and function,offer,element label Unknown
395,ranking text,increase,current button size
396,text and title,change,text and title
397,ranking text,increase,current button size
398,primary purpose,remove,breakfast icon
401,breakfast icon,improve,clear and functional checkbox
402,breakfast icon,adjust,positioning use design software to ensure alignment
404,ranking text,increase,current button size
405,setting bar,increase,setting bar
407,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
408,button or icon allow user to see current location,add,button or icon allow user to see current location
410,brown button,uniform font style to be use consistently,text 's small size and low color contrast
411,breakfast icon,add,appropriate icon clearly represent function
412,button or icon allow user to see current location,change,text color contrast
414,unnecessarily large font,reduce,space element
415,ranking text,increase,current button size
416,ranking text,increase,current button size
417,purpose and function,reintroduce,"more common language , such"
418,breakfast icon,give,similar graphic treatment
419,text and title,change,text and title
420,current button size,increase,current button size
422,uniform font style to be use consistently,thorough redesign,setting page
423,unnecessarily large font,reduce,space element
424,hamburger Menu,remove,hamburger Menu
426,positioning use design software to ensure alignment,add,two label
427,login and logo,increase,current button size
428,ranking text,increase,current button size
431,placeholder image or alternative visual content,have,placeholder image or alternative visual content
434,ranking text,increase,current button size
435,positioning use design software to ensure alignment,declutter,positioning use design software to ensure alignment
436,purpose and function,increase,separation line
437,two label,improve,readability and information flow
438,login and logo,enlarge,login and logo
439,text and title,increase,current button size
440,ranking text,increase,current button size
441,advertisement,add,clear close icon
442,ranking text,change,text color contrast
443,ranking text,increase,current button size
444,ranking text,increase,color weight
445,ranking text,increase,current button size
446,ranking text,choose,legible font be easy to read
447,uniform font style to be use consistently,change,text color contrast
448,purpose and function,choose,positioning use design software to ensure alignment
449,prominently position back button,revise,positioning use design software to ensure alignment
450,positioning use design software to ensure alignment,reintegrate,breakfast icon
451,text color contrast,adjust,text color contrast
452,absence,reintegrate,appropriate icon clearly represent function
453,setting bar,move,setting bar
455,breakfast icon,adjust,separate background
456,breakfast icon,give,similar graphic treatment
457,facebook app,remove,breakfast icon
458,positioning use design software to ensure alignment,include,vibrant and eye-catch color
460,ranking text,increase,ranking text
461,button or icon allow user to see current location,add,button or icon allow user to see current location
464,ranking text,change,text color contrast
465,ranking text,change,ranking text
466,color weight,increase,color weight
467,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
469,current button size,increase,current button size
470,ranking text,increase,current button size
472,separate background,choose,positioning use design software to ensure alignment
474,heading,add,heading
475,absence,reintegrate,appropriate icon clearly represent function
476,menu option layout,improve,clear and functional checkbox
477,purpose and function,add,section border
478,button or icon allow user to see current location,adjust,systematic arrangement
479,ranking text,increase,current button size
481,ok and cancel button,be,text color contrast
482,forgot password button,uniform font style to be use consistently,similar graphic treatment
483,positioning use design software to ensure alignment,reintegrate,breakfast icon
484,sentence,check mark,spelling babsy
485,ranking text,increase,ranking text
486,positioning use design software to ensure alignment,improve,empty card
487,theret,thorough redesign,positioning use design software to ensure alignment
489,positioning use design software to ensure alignment,uniform font style to be use consistently,section border
490,text color contrast,change,color weight
491,stand highlight,enlarge,stand highlight
493,color weight,increase,color weight
494,ranking text,increase,current button size
495,ranking text,translate,ranking text
496,clear close icon,move,clear close icon
497,two label,omit,one
499,current button size,increase,current button size
500,ranking text,increase,separate background
501,ranking text,uniform font style to be use consistently,large font size and more white space Bounding Box
503,ranking text,increase,separate background
504,login and logo,remove,pop-up 's dimension
505,ranking text,increase,current button size
508,item load but lack proper visual-blank image,replace,item load but lack proper visual-blank image
510,""" pende upload "" title",move,Recording and Background recording button
512,label Username or SPG Number and Password,move,label Username or SPG Number and Password
513,sign,uniform font style to be use consistently,button or icon allow user to see current location
514,ranking text,increase,current button size
515,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
516,ranking text,increase,current button size
517,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
518,text color contrast,change,text color contrast
519,ranking text,enlarge,ranking text
520,positioning use design software to ensure alignment,reintegrate,search icon & 3-dot menu icon
521,current button size,increase,current button size
522,date,adjust,text color contrast
524,button or icon allow user to see current location,add,button or icon allow user to see current location
526,trick,increase,ensure
527,button or icon allow user to see current location,improve,placeholder image or alternative visual content
529,text and title,change,text and title
530,ranking text,increase,current button size
531,ranking text,change,text color contrast
532,ranking text,uniform font style to be use consistently,text color contrast
533,current button size,increase,current button size
536,more readable font,be,more readable font
538,ranking text,adjust,text color contrast
539,text color contrast,uniform font style to be use consistently,dark color scheme Bounding Box
540,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
543,ranking text,increase,current button size
545,positioning use design software to ensure alignment,uniform font style to be use consistently,similar graphic
547,button or icon allow user to see current location,omit,button or icon allow user to see current location
549,heading,increase,current button size
550,button or icon allow user to see current location,resize,button or icon allow user to see current location
551,space element,uniform font style to be use consistently,space element
552,advertisement,move,advertisement
553,purpose and function,arrange,purpose and function
554,advertisement,button place,current ad section
555,positioning use design software to ensure alignment,reintegrate,breakfast icon
557,text color contrast,uniform font style to be use consistently,text color contrast
558,ranking text,increase,current button size
559,positioning use design software to ensure alignment,reintegrate,breakfast icon
560,placeholder image or alternative visual content,have,current button size
561,current button size,increase,current button size
562,current lack,create button,user-friendly menu system
564,location tab,increase,separate background
567,current button size,increase,current button size
568,product,separation,product
570,current lack,add,vibrant and eye-catch color
573,ranking text,increase,separate background
574,separate background,change,text color contrast
575,separate background,choose,positioning use design software to ensure alignment
576,ranking text,adjust,text color contrast
577,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
578,setting bar,align,setting bar
579,two label,shorten,two label
580,breakfast icon,adjust,systematic arrangement
581,breakfast icon,contain,breakfast icon
583,positioning use design software to ensure alignment,apply,consistent margin
585,heading,change,text color contrast
586,ranking text,adjust,text color contrast
588,current button size,increase,current button size
589,more readable font,uniform font style to be use consistently,more readable font
590,ranking text,increase,current button size
591,button or icon allow user to see current location,improve,legibility
592,ranking text,increase,current button size
593,ranking text,increase,current button size
597,text color contrast,adjust,text color contrast
598,text color contrast,adjust,text color contrast
602,button or icon allow user to see current location,add,button or icon allow user to see current location
603,positioning use design software to ensure alignment,add,breakfast icon
605,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
607,heading,change,text color contrast
608,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
609,breakfast icon,change,text color contrast
613,breakfast icon,give,similar graphic treatment
616,title shopping cart,increase,current button size
617,current button size,increase,current button size
618,button or icon allow user to see current location,add,button or icon allow user to see current location
619,ranking text,increase,current button size
620,ranking text,increase,current button size
621,two label,change,text color contrast
622,breakfast icon,give,similar graphic treatment
623,miss checkbox icon,add,appropriate icon clearly represent function
625,uniform font style to be use consistently,change,more concise language
628,call,change,text color contrast
629,ranking text,change,ranking text
630,stand highlight,enlarge,stand highlight
631,breakfast icon,change,breakfast icon
632,clear and functional checkbox,increase,dimension
634,positioning use design software to ensure alignment,thorough redesign,positioning use design software to ensure alignment
635,menu option layout,adjust,menu option layout
636,hamburger Menu,enlarge,hamburger Menu
638,ranking text,increase,ranking text
639,ranking text,change,ranking text
641,ranking text,increase,current button size
642,essential content,establish,clear right edge
645,item load but lack proper visual-blank image,uniform font style to be use consistently,item load but lack proper visual-blank image
647,current button size,increase,current button size
649,clean and more organized look,add,placeholder image or alternative visual content
650,ranking text,increase,current button size
651,current lack,add,vibrant and eye-catch color
656,ranking text,increase,current button size
657,news section,add,clear right edge
661,ranking text,shorten,ranking text
662,ranking text,increase,same font size / type / color weight
663,appropriate icon clearly represent function,increase,current button size
664,current button size,increase,current button size
665,ranking text,increase,current button size
668,ranking text,increase,current button size
669,screen,thorough redesign,positioning use design software to ensure alignment
670,ranking text,increase,consistent margin
671,ranking text,increase,current button size
672,button or icon allow user to see current location,add,boundary
673,text color contrast,ensure,placeholder image or alternative visual content
674,facebook app,add,facebook app
677,ranking text,increase,current button size
678,ranking text,uniform font style to be use consistently,text color contrast
680,ranking text,increase,current button size
681,positioning use design software to ensure alignment,reintegrate,breakfast icon
682,Add Location button,update,Add Location button
683,plus symbol,replace,plus symbol
685,Update Questions button,emphasize,Update Questions button
686,ranking text,change,ranking text
687,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
688,ranking text,increase,current button size
689,positioning use design software to ensure alignment,reintegrate,clear layout and intuitive navigation
690,breakfast icon,resize,text color contrast
691,breakfast icon,adjust,text color contrast
694,choice,choose,text color contrast
695,ranking text,increase,current button size
697,current button size,establish,current button size
698,ranking text,increase,ranking text
699,button or icon allow user to see current location,emphasize,button or icon allow user to see current location
700,ranking text,increase,current button size
701,ranking text,change,text color contrast
702,uniform font style to be use consistently,change,text color contrast
703,ranking text,be,text color contrast
704,ranking text,increase,current button size
705,clear and functional checkbox,add,scroll bar or way for user to navigate
706,ringtonecutter,correct,error and omission except
707,purpose and function,reintroduce,consistent margin
709,ranking text,increase,spacing
712,text color contrast,change,color weight
713,ranking text,increase,current button size
714,item load but lack proper visual-blank image,increase,current button size
715,current button size,increase,current button size
716,miss element,offer,clear layout and intuitive navigation
718,positioning use design software to ensure alignment,insert,clear and functional checkbox
719,positioning use design software to ensure alignment,reintegrate,breakfast icon
720,button or icon allow user to see current location,change,button or icon allow user to see current location
721,positioning use design software to ensure alignment,give,header and sub header
723,purpose and function,add,ranking text
724,text field,uniform font style to be use consistently,grid or baseline
726,ranking text,adjust,text color contrast
727,separate background,choose,positioning use design software to ensure alignment
728,unnecessarily large font,reduce,space element
732,absence,reintegrate,breakfast icon
734,ranking text,increase,current button size
735,star icon,resize,star icon
738,breakfast icon,give,similar graphic treatment
739,favorite lyric icon,adjust,text color contrast
740,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
741,ranking text,uniform font style to be use consistently,space element
743,ranking text,increase,current button size
744,text and title,change,text and title
745,color weight,increase,color weight
746,ranking text,increase,current button size
747,breakfast icon,update,breakfast icon
748,uniform font style to be use consistently,uniform font style to be use consistently,current button size
749,ranking text,increase,current button size
750,heading,positioning use design software to ensure alignment,text and title
751,login and logo,increase,current button size
752,"more common language , such",add,miss element
758,ranking text,increase,current button size
759,text color contrast,adjust,text color contrast
760,breakfast icon,adjust,systematic arrangement
761,text color contrast,change,color weight
762,breakfast icon,increase,spacing
763,text color contrast,change,color weight
766,purpose and function,have,element label Unknown
767,text Baby Shower and Mother,improve,clear and functional checkbox
768,location tab,increase,separate background
770,ranking text,change,ranking text
771,ranking text,adjust,text color contrast
772,text color contrast,increase,distribution ratio
773,current button size,increase,current button size
774,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
775,ranking text,increase,current button size
776,ranking text,adjust,separate background
777,unnecessarily large font,reduce,space element
778,ranking text,increase,current button size
780,cross button,adjust,text color contrast
783,highlighted section,reintegrate,separate background
786,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
787,choice,have,text color contrast
788,ranking text,increase,current button size
789,unnecessarily large font,increase,current button size
791,text color contrast,match,headline and rest
792,button or icon allow user to see current location,enlarge,current button size
793,distinguish,reintegrate,purpose and function
795,current button size,increase,current button size
797,ranking text,increase,separate background
799,related content item,be,ingredient
800,ranking text,increase,current button size
801,button or icon allow user to see current location,add,button or icon allow user to see current location
802,separate background,choose,positioning use design software to ensure alignment
803,positioning use design software to ensure alignment,add,clear close icon
805,text field,be,text field
807,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
808,purpose and function,add,element label Unknown
809,ranking text,increase,current button size
810,purpose and function,increase,space element
811,current button size,increase,current button size
813,Share pdf,increase,separate background
814,breakfast icon,align,breakfast icon
815,uniform font style to be use consistently,change,text color contrast
816,ranking text,adjust,current button size
817,digit,increase,current button size
820,breakfast icon,change,same font size / type / color weight
821,button or icon allow user to see current location,add,button or icon allow user to see current location
823,purpose and function,align,heading
825,login and logo,enlarge,login and logo
826,breakfast icon,add,breakfast icon
828,ranking text,increase,current button size
829,stand highlight,enlarge,setting bar
831,positioning use design software to ensure alignment,reintegrate,button or icon allow user to see current location
834,ranking text,increase,separate background
835,breakfast icon,resize,breakfast icon
836,ranking text,align,ranking text
837,button or icon allow user to see current location,change,text color contrast
838,ranking text,increase,current button size
839,clear and functional checkbox,add,scroll bar or way for user to navigate
840,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
842,uniform font style to be use consistently,improve,space element
843,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
847,ranking text,increase,current button size
850,breakfast icon,contain,breakfast icon
853,date,apply,same formatting
854,breakfast icon,change,breakfast icon
856,positioning use design software to ensure alignment,add,button or icon allow user to see current location
857,breakfast icon,add,breakfast icon
858,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
859,item load but lack proper visual-blank image,uniform font style to be use consistently,item load but lack proper visual-blank image
861,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
862,question mark icon,align,question mark icon
863,positioning use design software to ensure alignment,change,text color contrast
864,ranking text,increase,ranking text
865,ranking text,increase,separate background
866,forgot password button,improve,placeholder image or alternative visual content
867,text and title,change,text and title
871,button or icon allow user to see current location,add,button or icon allow user to see current location
872,header and sub header,create button,highlighted section
873,ranking text,increase,current button size
874,breakfast icon,improve,separate background
875,current button size,increase,current button size
876,breakfast icon,add,two label
879,ranking text,increase,current button size
880,text color contrast,change,separate background
881,ranking text,increase,current button size
884,continue,uniform font style to be use consistently,ranking text
885,breakfast icon,increase,setting bar
886,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
888,systematic arrangement,move,related content item
889,current button size,increase,current button size
892,disabled option,add,placeholder image or alternative visual content
893,current lack,align,essential content
894,ranking text,increase,current button size
895,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
898,current button size,increase,current button size
899,purpose and function,add,uneven padding
900,ranking text,increase,current button size
901,text Wealth & prosperity and Anti-stresscolor,be,same
902,more readable font,increase,current button size
904,current button size,increase,current button size
906,ranking text,increase,current button size
907,ranking text,leave alignment,ranking text
908,setting bar,button place,setting bar
912,positioning use design software to ensure alignment,increase,separation line
913,current button size,increase,current button size
914,ranking text,make,ranking text
915,positioning use design software to ensure alignment,reintegrate,breakfast icon
916,button or icon allow user to see current location,add,button or icon allow user to see current location
919,current lack,adjust,consistent margin
920,clean and more organized look,add,placeholder image or alternative visual content
921,menu option layout,enlarge,menu option layout
922,purpose and function,identify,purpose and function
923,study material and discuss,change,text color contrast
924,current button size,increase,current button size
925,information,add,information
926,more readable font,uniform font style to be use consistently,current button size
927,ranking text,increase,current button size
928,breakfast icon,reduce,current button size
931,purpose and function,arrange,purpose and function
932,separate background,choose,positioning use design software to ensure alignment
935,item load but lack proper visual-blank image,be,item load but lack proper visual-blank image
936,group,adjust,consistent left alignment
937,button or icon allow user to see current location,add,button or icon allow user to see current location
938,list,choose,center
939,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
940,breakfast icon,increase,current button size
941,breakfast icon,be,balance
942,positioning use design software to ensure alignment,reintegrate,breakfast icon
947,search restaurant,button place,search restaurant
948,positioning use design software to ensure alignment,reintegrate,breakfast icon
949,absence,reintegrate,breakfast icon
951,stand highlight,increase,current button size
954,ranking text,change,text color contrast
956,ranking text,make,ranking text
958,positioning use design software to ensure alignment,locate,information
959,datum,add,spacing
961,current button size,increase,current button size
962,two label,remove,two label
963,ranking text,change,text color contrast
964,text color contrast,change,text color contrast
966,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
967,ranking text,increase,separate background
968,ranking text,adjust,color weight
969,ranking text,increase,current button size
970,breakfast icon,adjust,text color contrast
972,positioning use design software to ensure alignment,reintegrate,breakfast icon
976,choice,be,text color contrast
977,ranking text,increase,current button size
978,positioning use design software to ensure alignment,add,breakfast icon
979,heading,add,breakfast icon
981,current button size,increase,current button size
982,pop,increase,current button size
983,more readable font,improve,legibility
984,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
985,breakfast icon,make,breakfast icon
991,Truth and Dare button,make,Truth and Dare button
992,ranking text,increase,ranking text
998,ranking text,increase,current button size
1000,positioning use design software to ensure alignment,be,text field
1001,systematic arrangement,add,setting bar
1002,location tab,increase,separate background
1004,appropriate icon clearly represent function,relocate,appropriate icon clearly represent function
1005,appropriate icon clearly represent function,relocate,appropriate icon clearly represent function
1006,current button size,increase,current button size
1007,positioning use design software to ensure alignment,reintegrate,breakfast icon
1008,purpose and function,arrange,legible font be easy to read
1009,ranking text,increase,font size & weight
1010,button or icon allow user to see current location,add,button or icon allow user to see current location
1013,breakfast icon,remove,breakfast icon
1014,ranking text,uniform font style to be use consistently,current button size
1016,button or icon allow user to see current location,add,button or icon allow user to see current location
1020,breakfast icon,replace,breakfast icon
1021,more readable font,choose,more readable font
1022,ranking text,increase,current button size
1023,button or icon allow user to see current location,add,button or icon allow user to see current location
1024,purpose and function,align,purpose and function
